dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,baseline,,0,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,1,1360.0,0.8681005895137787,0.00214983594257965,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,2,1360.0,0.8677255690097809,0.0019282914619218753,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,3,1360.0,0.8650783121585846,0.001762128277738439,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,4,1360.0,0.8623428225517273,0.0018014098110560835,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,5,1360.0,0.8579527854919433,0.0024483025333939343,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,6,1360.0,0.8529671370983124,0.0019356098516958744,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,7,1360.0,0.8509596407413482,0.001889796337716259,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,8,1359.0,0.8481579601764679,0.0018739838360406992,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,9,1359.0,0.8438120365142823,0.002388646690167913,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,conviction,10,1359.0,0.8359364688396453,0.0028021189771263223,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,1,1360.0,0.8620119094848633,0.001976901091263731,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,2,1360.0,0.8608868360519409,0.0019095216744097496,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,3,1360.0,0.8580189704895019,0.002026728275344264,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,4,1360.0,0.8580410420894623,0.00195885174308577,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,5,1360.0,0.8562982618808747,0.0017955098392397014,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,6,1360.0,0.8531215608119964,0.001997851761569767,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,7,1360.0,0.8495698153972626,0.002111462250465486,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,8,1359.0,0.8469005048274993,0.0019005292472833173,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,9,1359.0,0.8534083425998688,0.0022393772465666303,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,confidence,10,1359.0,0.8527244746685028,0.002449444552237116,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,1,1360.0,0.8598058700561524,0.0019189424234079709,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,2,1360.0,0.8584601819515228,0.0018399512796382195,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,3,1360.0,0.8585925340652466,0.0020314802918571964,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,4,1360.0,0.8592984795570373,0.0019048256754870378,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,5,1360.0,0.8547760844230652,0.0020734577661668755,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,6,1360.0,0.8535627543926239,0.0019170500676378918,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,7,1360.0,0.8530994892120362,0.0019808910851560045,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,8,1359.0,0.8540260255336761,0.0020602762453393424,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,9,1359.0,0.8516655743122101,0.0020669143598903116,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,degree,10,1359.0,0.8492609739303589,0.001906933898479695,10
