dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,baseline,,0,0.8536272229135996,0.0021921771784571566,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,1,588.0,0.8529402175533919,0.0022043916279041852,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,2,588.0,0.8526671235179448,0.0022903946385951384,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,3,588.0,0.8526050012336339,0.0022542098746451892,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,4,588.0,0.8528828061242473,0.002217796569498631,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,5,588.0,0.8528303766786234,0.002193871882679531,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,6,588.0,0.8532760100209037,0.0022762925437695243,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,7,588.0,0.8528481016948233,0.0022283676432960993,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,8,588.0,0.8531583403148885,0.0022207552552514207,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,9,588.0,0.8531277028107876,0.0021572400566407086,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conviction,10,587.0,0.853157628602957,0.0022645703848540063,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,1,588.0,0.8523887085885329,0.002182730024866322,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,2,588.0,0.8527033191533204,0.0023535186100150708,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,3,588.0,0.8522715133571385,0.002206973112385725,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,4,588.0,0.8530748327815871,0.002182962969414572,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,5,588.0,0.8527738464166322,0.0021590810302340546,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,6,588.0,0.8529488597697036,0.0022910430006448787,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,7,588.0,0.8530950657350698,0.0023201835038631656,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,8,588.0,0.8533253553814912,0.002208024210452368,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,9,588.0,0.8536956828232054,0.0022064941025683065,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,confidence,10,587.0,0.8537721749103244,0.002145727671595492,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,1,588.0,0.8531784377041938,0.0022207057182101085,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,2,588.0,0.8536618256698902,0.002218180245468286,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,3,588.0,0.8535823172798235,0.0021813511452981192,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,4,588.0,0.8531826063026496,0.002319534515797395,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,5,588.0,0.8531671858774663,0.0021387286025839015,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,6,588.0,0.8531126212960478,0.0021911001670619997,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,7,588.0,0.8524642178353655,0.002266582309850249,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,8,588.0,0.8525385747866897,0.0022801066652756706,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,9,588.0,0.8528625731707647,0.002147766992513946,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,degree,10,587.0,0.8528011287073414,0.0022901474642338564,10
