dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,baseline,,0.848422643013429
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,1,0.8467369024669968
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,2,0.8476007851877158
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,3,0.8480434022270482
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,4,0.8482115018070705
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,5,0.8473035607286846
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,6,0.8480084944513582
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,7,0.8482413259261066
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,8,0.8484372161625034
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,9,0.8489862510811242
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conviction,10,0.8482186189263861
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,1,0.8481013559129027
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,2,0.8480027329738172
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,3,0.8472635692963405
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,4,0.8491729907355441
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,5,0.8482342088067911
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,6,0.8486293783840209
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,7,0.8470385327617946
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,8,0.8473476190863517
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,9,0.8480945777040308
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,confidence,10,0.8482918235822021
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,degree,1,0.8483826515810851
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,degree,2,0.8482640329258273
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,degree,3,0.8471879922674195
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,degree,4,0.8483135138505921
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,degree,5,0.8484195928194367
