dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,baseline,,0,0.8536271212404664,0.002192366333596188,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,1,588.0,0.8530861862814474,0.0022746622994128385,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,2,588.0,0.8528471527455814,0.0024783690103261534,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,3,588.0,0.8526927451474803,0.0023001843293952995,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,4,588.0,0.8534262490205489,0.002181514370801228,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,5,588.0,0.8531121468214268,0.0021122501424629325,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,6,588.0,0.8535414446803262,0.0023014974169659587,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,7,588.0,0.8531562390701382,0.0022377262761883966,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,8,588.0,0.8536848715800547,0.0023077935296653843,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,9,588.0,0.8533774798077159,0.002170663454718915,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conviction,10,587.0,0.8535526626160088,0.002288899818831697,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,1,588.0,0.8531622377849898,0.0022647312378906836,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,2,588.0,0.8530307066418314,0.002413929477160001,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,3,588.0,0.8528714187333426,0.002307742654384696,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,4,588.0,0.8534298075802065,0.0022645450889722768,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,5,588.0,0.8532506595197231,0.0022006366076012486,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,6,588.0,0.853252794655518,0.0022924006422450015,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,7,588.0,0.8534140143535349,0.002298822236067348,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,8,588.0,0.853256488779353,0.002204611494881536,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,9,588.0,0.8535317518416393,0.0021592716378709396,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,confidence,10,587.0,0.8537221178378056,0.0021335199590679053,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,1,588.0,0.8528045178117771,0.002222982350960918,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,2,588.0,0.8535976360318738,0.0022261234282625946,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,3,588.0,0.8536145137719646,0.002213575062690992,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,4,588.0,0.8533642284093714,0.0023109027449325446,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,5,588.0,0.8534275029891903,0.0021411371545672518,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,6,588.0,0.8536110229943958,0.0021940278239013867,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,7,588.0,0.8530515157430679,0.0022823569284566784,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,8,588.0,0.8531265844063238,0.002264661886150294,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,9,588.0,0.8531197384153633,0.0022168872194153863,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,degree,10,587.0,0.8530159979285793,0.002411496286308898,10
