dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,baseline,,0.848422643013429
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,1,0.8475818062028745
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,2,0.8475774003671078
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,3,0.8471432560888649
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,4,0.8479051267660623
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,5,0.8469754954192865
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,6,0.8474614929953989
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,7,0.8484938142065834
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,8,0.8482447150305427
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,9,0.8491526561089285
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,conviction,10,0.8482582714482865
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,1,0.8470259930753818
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,2,0.8469734619566249
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,3,0.8469514327777914
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,4,0.8493332953753636
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,5,0.8481352469572622
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,6,0.8488517036350179
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,7,0.8478078594687511
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,8,0.8473686315338544
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,9,0.8481152512410901
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,confidence,10,0.8484619566248858
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,1,0.848364350417131
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,2,0.8483867185064081
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,3,0.8467724880635742
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,4,0.8480800045549564
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,5,0.8478983485571906
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,6,0.8482680998511507
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,7,0.848146092091457
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,8,0.8478193824238334
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,9,0.8482233636725963
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,degree,10,0.8476214587247749
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,1,baseline,,0.8551056180506414
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,1,conviction,1,0.8546724905037293
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,1,conviction,2,0.8540109373178357
