dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
cora,GeneralSheaf,5,3,true,last,pruning,,acc,baseline,,0,0.8293762505054474,0.006206846613745528,10,,,,
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,1,120.0,0.8285714149475097,0.005947031795853759,10,0.9556868537666177,0.9621068586585826,84.7,0.9099304482225655
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,2,120.0,0.828772634267807,0.0062371002675767106,10,0.9556868537666177,0.9459833270178096,93.4,0.9052550231839257
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,3,119.0,0.8285714268684388,0.006114847197573382,10,0.9560561299852288,0.9365668813944674,96.5,0.9038624951718809
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,4,119.0,0.8265593647956848,0.006828011749291184,10,0.9560561299852288,0.9284198560060629,97.3,0.9028968713789107
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,5,119.0,0.8281690180301666,0.0066013139593777475,10,0.9560561299852288,0.9201970443349753,97.0,0.9015449980687524
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,6,119.0,0.8281690180301666,0.00605095269924003,10,0.9560561299852288,0.9152709359605911,98.2,0.9009656237929702
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,7,119.0,0.8299798786640167,0.006137645360858661,10,0.9560561299852288,0.9064986737400531,101.8,0.8962920046349943
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,8,119.0,0.8281690061092377,0.005929302926175864,10,0.9560561299852288,0.9004547176960969,105.5,0.8943607570490538
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,9,119.0,0.8269617676734924,0.005554194434032158,10,0.9560561299852288,0.885430087154225,112.5,0.8915797605252994
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conviction,10,119.0,0.8146881341934205,0.0055792805557653095,10,0.9560561299852288,0.8115384615384615,151.5,0.8694090382387023
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,1,120.0,0.8295774579048156,0.005907756704116825,10,0.9556868537666177,0.9529556650246305,89.4,0.9070324574961359
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,2,120.0,0.8275654017925262,0.006432652421165438,10,0.9556868537666177,0.9396930655551345,92.8,0.9055255023183925
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,3,119.0,0.8291750490665436,0.006327320323807639,10,0.9560561299852288,0.934141720348617,94.1,0.9042873696407877
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,4,119.0,0.8273641884326934,0.006284625460589358,10,0.9560561299852288,0.9254641909814323,97.6,0.9034762456546929
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,5,119.0,0.827364182472229,0.006342338966031868,10,0.9560561299852288,0.9183592269799167,97.5,0.9010814986481266
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,6,119.0,0.8303822875022888,0.006188883533456721,10,0.9560561299852288,0.9137362637362638,101.8,0.8985322518346852
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,7,119.0,0.8271629750728607,0.005910494756449678,10,0.9560561299852288,0.9098332701780978,101.7,0.8986095017381228
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,8,119.0,0.8287726283073426,0.005896781978307834,10,0.9560561299852288,0.8982758620689655,106.7,0.8942062572421783
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,9,119.0,0.8279677987098694,0.005139655131877078,10,0.9560561299852288,0.8868889730958698,109.1,0.892275009656238
cora,GeneralSheaf,5,3,true,last,pruning,,acc,confidence,10,119.0,0.8169014155864716,0.006022784654579545,10,0.9560561299852288,0.8331754452444109,137.0,0.8765932792584008
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,1,120.0,0.8285714149475097,0.00590604556113217,10,0.9556868537666177,0.9772641151951497,78.0,0.9138330757341576
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,2,120.0,0.8295774579048156,0.006009669025982525,10,0.9556868537666177,0.9637362637362636,88.3,0.9072642967542504
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,3,119.0,0.8291750490665436,0.006491546579234873,10,0.9560561299852288,0.9557029177718832,93.2,0.9050598686751643
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,4,119.0,0.8291750431060791,0.006340106400770715,10,0.9560561299852288,0.9458696475937856,94.4,0.9044418694476631
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,5,119.0,0.8291750490665436,0.005876146840560959,10,0.9560561299852288,0.9335733232284955,96.7,0.900386249517188
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,6,119.0,0.828370213508606,0.006201952294542076,10,0.9560561299852288,0.927169382341796,97.4,0.9010428736964078
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,7,119.0,0.8269617795944214,0.006940918106700312,10,0.9560561299852288,0.9118794998105342,101.8,0.8987640015449981
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,8,119.0,0.8255533158779145,0.006618770613952601,10,0.9560561299852288,0.8956612353164075,108.0,0.8957898802626497
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,9,119.0,0.8259557247161865,0.005092175042264556,10,0.9560561299852288,0.8745547555892383,108.7,0.8938586326767091
cora,GeneralSheaf,5,3,true,last,pruning,,acc,degree,10,119.0,0.8183098554611206,0.00479574159144201,10,0.9560561299852288,0.7209928003031452,193.6,0.8365392043259947
