dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,baseline,,0,0.8108108103275299,0.02506383104433629,10,,,,
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,1,9.0,0.8108108103275299,0.02506383104433629,10,0.9508196721311476,0.9534296028880866,1.7,0.9959770114942528
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,2,9.0,0.8135135114192963,0.024607953683793298,10,0.9508196721311476,0.9444043321299638,1.9,0.9942528735632182
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,3,9.0,0.8027027010917663,0.02326523156686185,10,0.9508196721311476,0.9440433212996389,2.0,0.9925287356321837
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,4,9.0,0.8054054081439972,0.02286939935085084,10,0.9508196721311476,0.9364620938628159,2.8,0.9890804597701148
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,5,9.0,0.8135135114192963,0.02370071292464423,10,0.9508196721311476,0.9310469314079421,2.7,0.9885057471264368
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,6,9.0,0.8108108103275299,0.02447401180544978,10,0.9508196721311476,0.9158844765342959,2.6,0.986206896551724
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,7,9.0,0.8081081092357636,0.02370071306058405,10,0.9508196721311476,0.9151624548736462,2.7,0.9885057471264368
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,8,8.0,0.8081081092357636,0.024903023457611074,10,0.9562841530054644,0.9083032490974731,4.2,0.9799999999999999
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,9,8.0,0.8054054021835327,0.025005476475762584,10,0.9562841530054644,0.8956678700361012,3.5,0.9742857142857144
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,10,8.0,0.8054054081439972,0.024113195649247427,10,0.9562841530054644,0.7,32.3,0.7582857142857143
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,1,9.0,0.8108108103275299,0.02506383104433629,10,0.9508196721311476,0.9462093862815886,1.5,0.9971264367816092
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,2,9.0,0.8081081092357636,0.02370071306058405,10,0.9508196721311476,0.9465703971119133,1.8,0.9936781609195402
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,3,9.0,0.8108108103275299,0.02506383104433629,10,0.9508196721311476,0.932490974729242,2.2,0.9919540229885057
