dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,baseline,,0,0.9545872500774554,0.0019659653175955233,10,,,,
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,1,600.0,0.9529911325042223,0.001924787217050838,10,0.9399999999999998,0.893683061773514,1.7,0.999840425531915
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,2,600.0,0.9506951240009563,0.0022268086591749323,10,0.9399999999999998,0.8862342013095782,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,3,600.0,0.9486990263823744,0.001865370801505298,10,0.9399999999999998,0.8851428861479114,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,4,600.0,0.9452585919220311,0.0018965688556524206,10,0.9399999999999998,0.8846835186031166,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,5,600.0,0.9431586322615502,0.0024249101830754005,10,0.9399999999999998,0.8841226333688645,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,6,600.0,0.943755114067376,0.0026501226773746906,10,0.9399999999999998,0.8840921780620274,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,7,600.0,0.9416211710080274,0.002232194862917952,10,0.9399999999999998,0.8848687883863763,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,8,600.0,0.9407666718943423,0.0029827119750785885,10,0.9399999999999998,0.8855591086746866,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,9,600.0,0.9367934805350437,0.002070603978674622,10,0.9399999999999998,0.8873001370488808,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conviction,10,600.0,0.9257531428260608,0.003551304005475698,10,0.9399999999999998,0.8900639561443583,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,1,600.0,0.9454488043154559,0.002182258550186175,10,0.9399999999999998,0.8856936196132177,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,2,600.0,0.9447589854895858,0.0021223791341455074,10,0.9399999999999998,0.8860235521039541,1.1,0.9999893617021277
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,3,600.0,0.941826283223917,0.0020114707569680915,10,0.9399999999999998,0.8853586112380082,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,4,600.0,0.941766877720773,0.0022686909007164674,10,0.9399999999999998,0.8854068321405005,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,5,600.0,0.9379277811870159,0.002536093139268113,10,0.9399999999999998,0.8845794629714228,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,6,600.0,0.9352953417519941,0.00155729467435631,10,0.9399999999999998,0.8840287295061164,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,7,600.0,0.9429281894873023,0.002185550401530689,10,0.9399999999999998,0.8850210649205623,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,8,600.0,0.9463430583238444,0.0024110416672565014,10,0.9399999999999998,0.8854981980610122,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,9,600.0,0.9455030705236848,0.0020877497662567484,10,0.9399999999999998,0.8868483833307954,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,confidence,10,600.0,0.9497809973573798,0.0022416003692650142,10,0.9399999999999998,0.8889548753870361,1.2,0.9999787234042554
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,1,600.0,0.9454384836292645,0.0022092484019307908,10,0.9399999999999998,0.9020049743667833,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,2,600.0,0.9444896830713834,0.0021775625735849,10,0.9399999999999998,0.8818257956448912,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,3,600.0,0.9428350720889368,0.0022120123108774156,10,0.9399999999999998,0.88198314806355,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,4,600.0,0.9429418959176348,0.0017337287637922505,10,0.9399999999999998,0.8819120856809299,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,5,600.0,0.9432470551496277,0.002008136388097172,10,0.9399999999999998,0.8817775747423987,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,6,600.0,0.942923530772017,0.00241123378920423,10,0.9399999999999998,0.882041520734988,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,7,600.0,0.9439557375859657,0.0021180628992482175,10,0.9399999999999998,0.8819374651032943,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,8,600.0,0.9453855598204847,0.0022814676201879215,10,0.9399999999999998,0.8818993959697478,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,9,600.0,0.9433227865891199,0.002479624612128698,10,0.9399999999999998,0.8819729962946043,1.0,1.0
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,degree,10,600.0,0.9428325234953142,0.0021056386465509395,10,0.9399999999999998,0.8819095477386935,1.0,1.0
