dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,baseline,,0.9506310919890345
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,1,0.9491969362371814
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,2,0.9485480759467966
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,3,0.9474788049548176
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,4,0.9452133465326428
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,5,0.9371049725860494
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,6,0.9417263173926287
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,7,0.9428796705249264
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,8,0.9409299167428165
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,9,0.9353836683927302
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conviction,10,0.9083472941415373
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,1,0.9433016676819982
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,2,0.9436419623819677
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,3,0.9420102929231394
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,4,0.9337702431718956
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,5,0.939521144278607
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,6,0.9274704284698955
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,7,0.9409553000304599
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,8,0.941071111280333
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,9,0.9412741775814802
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,confidence,10,0.9462953091684436
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,1,0.9424529140014214
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,2,0.9424878160219312
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,3,0.9398336760077164
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,4,0.937228716113311
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,5,0.9402572596202661
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,6,0.9411282236775308
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,7,0.9410203447050461
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,8,0.9411694715199512
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,9,0.9377633516093005
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,degree,10,0.9404634988323687
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,1,0.9584682622397577
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,2,0.955271842973771
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,3,0.9529485843321175
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,4,0.9523514851485148
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,5,0.949303952951686
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,6,0.9491349040919129
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,7,0.9456934415246034
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,8,0.947875567631951
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,9,0.9425559567234919
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conviction,10,0.9242924762401051
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,1,0.9452328221543959
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,2,0.9505772475743814
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,3,0.9477685550509938
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,4,0.9460796173602324
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,5,0.9456438125015509
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,6,0.9389733616218764
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,7,0.9462440134990943
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,8,0.9546018511625599
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,9,0.9508486562942008
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,confidence,10,0.9576059579642175
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,1,0.9524290304970346
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,2,0.9508672671778455
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,3,0.9444604704831386
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,4,0.9512270775949775
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,5,0.9469729397751805
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,6,0.9464053078240154
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,7,0.9481997071887641
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,8,0.9515636244075535
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,9,0.9480384128638428
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,degree,10,0.9508889798754312
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,baseline,,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,1,0.961624112449314
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,2,0.9593161230228304
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,3,0.9560512399085068
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,4,0.9532330131501355
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,5,0.948632929541152
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,6,0.9529675625756017
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,7,0.9484310599425545
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,8,0.9501191348536604
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,9,0.9438977363583042
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conviction,10,0.9384186457570031
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,1,0.9548034632557593
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,2,0.9512985619572767
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,3,0.9480813645749055
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,4,0.9510029104191735
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,5,0.9461341971868595
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,6,0.9416596860053503
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,7,0.9494547136551272
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,8,0.9534205770291471
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,9,0.9508805170404964
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,confidence,10,0.9605003186996418
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,1,0.9537321238112344
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,2,0.9505340007216441
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,3,0.9485248418820604
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,4,0.9488284410421556
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,5,0.9518469478747266
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,6,0.9508884646624883
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,7,0.9507152065030622
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,8,0.9538068314579595
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,9,0.9531201569178486
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,degree,10,0.950969530406807
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,baseline,,0.942175430531276
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,1,0.9418729849563571
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,2,0.9343723346983711
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,3,0.937020245706785
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,4,0.9317546682474489
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,5,0.92374288496785
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,6,0.9207758938778968
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,7,0.9236642491183712
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,8,0.9209119943866101
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,9,0.9276882874926656
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,conviction,10,0.9264225527616305
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,1,0.9295589133735385
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,2,0.9318408652363008
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,3,0.9276973608599133
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,4,0.928618307635541
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,5,0.919020197315493
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,6,0.9272119357121688
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,7,0.9282054694257769
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,8,0.9333364586042742
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,9,0.9302076591317392
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,confidence,10,0.9361628125018904
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,1,0.9290523170355494
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,2,0.9304178588063078
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,3,0.9288920208808424
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,4,0.9341455005171819
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,5,0.931347878949183
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,6,0.9238638631978175
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,7,0.9326468826934594
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,8,0.9322022876983287
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,9,0.9269518325177384
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,3,degree,10,0.9262516710118014
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,baseline,,0.9473994391920395
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,1,0.9463153552197324
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,2,0.9430568996749299
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,3,0.9417091615176556
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,4,0.9409290553115462
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,5,0.9410624333110001
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,6,0.9438773294622695
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,7,0.9352620412417181
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,8,0.9293406784287451
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,9,0.9229501662572273
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,conviction,10,0.9130297898210873
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,confidence,1,0.942642807513834
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,confidence,2,0.9368207027469664
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,4,confidence,3,0.9342275862924638
