dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,baseline,,0,0.8907707870006562,0.0013188493490263614,10,,,,
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,1,947.0,0.8907200753688812,0.0012908651297559382,10,0.9519703808895876,0.9697455103330025,63.0,0.9961747469366008
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,2,947.0,0.8904665291309357,0.0013747912974979772,10,0.9519703808895876,0.9618558794332641,137.9,0.9914331379861482
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,3,947.0,0.8903904736042023,0.0013621291786084244,10,0.9519703808895876,0.9557485786481363,186.8,0.9882578582844965
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,4,946.0,0.8907961428165436,0.0014080829286330745,10,0.9520210985444033,0.9518364768522698,177.1,0.9888817857333121
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,5,946.0,0.8901115655899048,0.001384669316744832,10,0.9520210985444033,0.9463541196642902,200.5,0.9876191998295243
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,6,946.0,0.8898073017597199,0.0013758205277103741,10,0.9520210985444033,0.9360504467105857,212.1,0.987501997762506
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,7,946.0,0.8901115477085113,0.0013263344842669997,10,0.9520210985444033,0.9237546250338416,269.6,0.98425230408609
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,8,946.0,0.8899087190628052,0.0015978869631791176,10,0.9520210985444033,0.9025697139247362,359.5,0.9788929732033456
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,9,946.0,0.8898580133914947,0.001270888074467509,10,0.9520210985444033,0.8622213699124627,543.6,0.968829577539822
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conviction,10,946.0,0.8825811266899108,0.0016217071709387176,10,0.9520210985444033,0.6803988809674217,2587.2,0.8578765116402962
