dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,baseline,,0.7659953960781236
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,1,0.7662789274755315
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,2,0.7662191272866645
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,3,0.7660506939361685
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,4,0.7651779344229743
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,5,0.7657585042102565
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,6,0.7664728740340191
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,7,0.7647128090157442
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,8,0.7642633840442014
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,9,0.7636521060518253
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,conviction,10,0.7363583993867595
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,1,0.763713291573253
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,2,0.7633360193392426
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,3,0.7633659194336759
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,4,0.7649603217665761
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,5,0.7629444320021057
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,6,0.7634232952905621
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,7,0.7660524256018693
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,8,0.7616700414907103
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,9,0.762493621698002
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,confidence,10,0.7616773144866533
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,degree,1,0.7663426527733203
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,degree,2,0.7656005762983452
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,degree,3,0.7665528769893952
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,degree,4,0.7654480742722964
