dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,baseline,,0,0.8536273245867326,0.0021923124907977675,10,,,,
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,1,588.0,0.852595477850169,0.0021895819741153824,10,0.9499914951522367,0.9587788053949904,30.2,0.9970008952551478
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,2,588.0,0.852535016227032,0.002316567837652915,10,0.9499914951522367,0.9440639691714836,21.2,0.9977708146821843
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,3,588.0,0.8527391080961639,0.0021699668533920334,10,0.9499914951522367,0.9339086705202313,17.4,0.9982721575649058
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,4,588.0,0.8531732184833623,0.0021601593772125442,10,0.9499914951522367,0.9282527938342968,13.7,0.998692927484333
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,5,588.0,0.852881552155606,0.002061559350625939,10,0.9499914951522367,0.9206578034682081,15.7,0.9985049239033126
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,6,588.0,0.8530395522044092,0.002164005038213697,10,0.9499914951522367,0.9088895953757226,21.9,0.9979767233661594
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,7,588.0,0.8522262349218744,0.002264335715625413,10,0.9499914951522367,0.9099670520231214,22.8,0.9977976723366158
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,8,588.0,0.8525007184901405,0.0022545404619562716,10,0.9499914951522367,0.9004626204238921,28.4,0.9970635631154879
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,9,588.0,0.8524119917360078,0.002140494509458489,10,0.9499914951522367,0.8814470134874759,28.6,0.9970456580125335
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conviction,10,587.0,0.8500055920223192,0.0022550082145636557,10,0.950076543629869,0.7738526011560694,57.8,0.9944141079581058
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,confidence,1,588.0,0.8509379007615998,0.002217652992453178,10,0.9499914951522367,0.8475601156069364,59.4,0.9939928379588181
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,confidence,2,588.0,0.8526356048466905,0.0021974078142837435,10,0.9499914951522367,0.8768687861271678,42.1,0.9956490599820951
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,confidence,3,588.0,0.8516945183269211,0.002110771511334876,10,0.9499914951522367,0.8925699421965317,34.8,0.9962399283795882
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,confidence,4,588.0,0.8526292672213953,0.0023067125985088166,10,0.9499914951522367,0.889894605009634,32.9,0.9965264100268575
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,confidence,5,588.0,0.8521770929075533,0.002107570976341928,10,0.9499914951522367,0.9057647398843931,24.2,0.9976007162041182
