dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,criterion,bin,value
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,baseline,,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,1,0.8471557957752779
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,2,0.8466365849756934
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,3,0.8471541012230599
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,4,0.8481338913154877
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,5,0.8474984342337506
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,6,0.8471635907154805
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,7,0.8467074172584043
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,8,0.8455300423773618
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,9,0.8473198284299771
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conviction,10,0.845672384763671
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,1,0.8451972323217535
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,2,0.8473998112946651
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,3,0.8449813463691846
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,4,0.8484229819238726
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,5,0.8469182195543191
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,6,0.8478817419454544
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,7,0.8466941997511042
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,8,0.8469121191663345
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,9,0.8479288504971139
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,confidence,10,0.8485693912355047
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,1,0.8477082197983347
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,2,0.8487113947113704
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,3,0.8466460744681139
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,4,0.848215907642837
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,5,0.8465538908274567
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,6,0.8483806181184234
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,7,0.8470442942393358
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,8,0.846666748005173
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,9,0.8463705402774726
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,degree,10,0.8426011783238302
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,1,0.8543142621648514
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,2,0.8534869817720407
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,3,0.8531372261942526
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,4,0.8543200236423927
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,5,0.853794034633936
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,6,0.8557563261023401
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,7,0.8534741031751842
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,8,0.8526383500212835
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,9,0.8546704570410678
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conviction,10,0.851340323022322
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,1,0.848779854620976
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,2,0.8550256351859534
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,3,0.8529714989873356
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,4,0.8543085006873103
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,5,0.8529304908236608
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,6,0.8555116327620659
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,7,0.8542075053751197
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,8,0.8543200236423926
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,confidence,9,0.8550371581410355
