dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,criterion,bin,n_nodes,mean,se,n_folds,pct_nodes_remaining,pct_edges_remaining,n_connected_components,giant_component_pct
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,baseline,,0,0.8686274588108063,0.007362738131938185,10,,,,
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,1,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9146666666666666,4.6,0.9832635983263598
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,2,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9164444444444445,4.2,0.9845188284518829
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,3,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9326666666666668,3.6,0.9891213389121338
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,4,12.0,0.8666666746139526,0.0077444770513859125,10,0.952191235059761,0.9173333333333333,3.7,0.9874476987447698
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,5,12.0,0.8705882430076599,0.007440652874545747,10,0.952191235059761,0.920888888888889,3.0,0.990794979079498
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,6,12.0,0.8666666746139526,0.007231014829619776,10,0.952191235059761,0.9082222222222223,3.2,0.988284518828452
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,7,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9117777777777777,2.7,0.992050209205021
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,8,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9153333333333332,3.0,0.988702928870293
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,9,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9224444444444444,2.5,0.993305439330544
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,conviction,10,12.0,0.8686274588108063,0.006820598468333602,10,0.952191235059761,0.8533333333333333,11.0,0.9451882845188285
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,1,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9064444444444444,4.7,0.9803347280334729
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,2,12.0,0.8666666746139526,0.0077444770513859125,10,0.952191235059761,0.9126666666666665,4.5,0.9853556485355648
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,3,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.8928888888888891,8.4,0.9627615062761506
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,4,12.0,0.8666666746139526,0.007231014829619776,10,0.952191235059761,0.9188888888888889,3.6,0.9882845188284518
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,5,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.892,6.6,0.9673640167364017
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,6,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.8906666666666666,5.6,0.9757322175732217
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,7,12.0,0.8705882430076599,0.007440652874545747,10,0.952191235059761,0.913111111111111,3.5,0.9841004184100418
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,8,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9171111111111111,2.6,0.992050209205021
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,9,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9259999999999999,2.6,0.992468619246862
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,confidence,10,12.0,0.8686274588108063,0.006820598468333602,10,0.952191235059761,0.9444444444444443,1.7,0.997071129707113
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,degree,1,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9733333333333333,1.0,1.0
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,degree,2,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9733333333333333,1.0,1.0
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,degree,3,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9602222222222221,1.9,0.996234309623431
wisconsin,GeneralSheaf,2,2,true,last,pruning,,acc,degree,4,12.0,0.8686274588108063,0.007362738131938185,10,0.952191235059761,0.9468888888888889,3.2,0.9907949790794979
