dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.01,0.4580107778310776,0.0018957911170944856,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.05,0.4519516557455063,0.0022105459962285814,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.1,0.44615385234355925,0.002070065820212684,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.2,0.43911481499671934,0.0021223945397100437,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.3,0.4329413712024689,0.002316069426941992,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.01,0.4639555782079697,0.002001011549457829,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.05,0.4637759268283844,0.002188108911526414,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.1,0.46341662406921386,0.0021754203792499855,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.2,0.4619304269552231,0.0020565446798676244,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.3,0.46054221987724303,0.002187670888837445,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.01,0.45735750794410707,0.00187982422750974,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.05,0.45226195752620696,0.0018235897515147435,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.1,0.4486199527978897,0.0019360610906967455,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.2,0.44234852492809296,0.002150757979654885,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.3,0.43846153616905215,0.002192127616199894,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.01,0.46362894475460054,0.0021811197655183467,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.05,0.4632859706878662,0.0023096806533381815,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.1,0.4619140952825546,0.0023220050893684847,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.2,0.45985627770423887,0.002278520854839302,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.3,0.4565082460641861,0.0022154571649739834,10
amazon_ratings,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.01,0.4620120793581009,0.002117035087789543,10
