dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,high,0.01,0.650648546218872,0.011292535857116082,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,high,0.05,0.6467485547065734,0.01080173869173091,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,high,0.1,0.6442501783370972,0.010965886135117045,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,high,0.2,0.6411939203739166,0.01096327221699144,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,high,0.3,0.6425865709781646,0.010332195694043715,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,low,0.01,0.6526286661624908,0.01130998809938471,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,low,0.05,0.6526486575603485,0.011344942705315223,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,low,0.1,0.6537229955196381,0.011293974594741789,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,low,0.2,0.6566258788108825,0.010175336520160005,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,low,0.3,0.6618255257606507,0.0091882843754438,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_high,0.01,0.6506049036979675,0.010990997049053467,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_high,0.05,0.6508383512496948,0.01064742572411965,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_high,0.1,0.6501916944980621,0.009853588123350509,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_high,0.2,0.6519234836101532,0.009243514838131163,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_high,0.3,0.6530762016773224,0.008541641543684364,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_low,0.01,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_low,0.05,0.652995127439499,0.011399536817356419,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_low,0.1,0.6529944539070129,0.01137406519905479,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_low,0.2,0.6528424859046936,0.011002432817770455,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_low,0.3,0.6534015297889709,0.009847285691138435,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_high,0.01,0.6527141332626343,0.010957503214025775,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_high,0.05,0.6545422792434692,0.01068689712266743,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_high,0.1,0.6567337453365326,0.010039155716173882,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_high,0.2,0.6593351185321807,0.0096177162372339,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_high,0.3,0.6640859305858612,0.008747726762470216,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_low,0.01,0.6529303312301635,0.011490226995809856,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_low,0.05,0.6537687122821808,0.011231309777307009,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_low,0.1,0.6552295744419098,0.010971098975725594,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_low,0.2,0.653979504108429,0.010051339588386696,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,deg_matched_low,0.3,0.6484038531780243,0.010653140415561244,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_high,0.01,0.6509515762329101,0.011113773775687496,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_high,0.05,0.6479723751544952,0.010781131533794824,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_high,0.1,0.6463595271110535,0.010800960654527434,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_high,0.2,0.6432983458042145,0.009613406572612667,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_high,0.3,0.6442449271678925,0.009588839183782302,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_low,0.01,0.6534666955471039,0.011352488018483394,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_low,0.05,0.653767216205597,0.011368669182270814,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_low,0.1,0.6537666499614716,0.01167348596678245,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_low,0.2,0.6556584417819977,0.011556783193936878,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,conf_low,0.3,0.6593555808067322,0.010472546060676253,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,random,0.01,0.6535329639911651,0.011271494073206947,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,random,0.05,0.6541780710220337,0.010952274506030533,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,random,0.1,0.6567490637302399,0.009983630680867129,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,random,0.2,0.6540133774280548,0.009467622775149523,10
citeseer,GeneralSheaf,5,4,true,last,gating,hard,acc,random,0.3,0.6553072988986969,0.01080880650573614,10
