dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,high,0.01,0.8229376196861267,0.00542140520347584,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,high,0.05,0.8169014096260071,0.005626609154914318,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,high,0.1,0.812273645401001,0.005224027022280537,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,high,0.2,0.8090543210506439,0.004948630767040322,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,high,0.3,0.8064386367797851,0.0053673667349119795,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,low,0.01,0.8295774579048156,0.006142922635380956,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,low,0.05,0.8291750431060791,0.006145558275538518,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,low,0.1,0.8287726283073426,0.00602581512872541,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,low,0.2,0.82776660323143,0.0061108714209740615,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,low,0.3,0.8255533277988434,0.0064011075442518784,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_high,0.01,0.8227364122867584,0.005203842985046794,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_high,0.05,0.8181086599826812,0.005067862286176788,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_high,0.1,0.8160965859889984,0.005099716255902532,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_high,0.2,0.8112676084041596,0.004604081002945271,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_high,0.3,0.8050301849842072,0.004467067675845072,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_low,0.05,0.8287726283073426,0.006138967190223017,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_low,0.1,0.8281690061092377,0.005929303735235202,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_low,0.2,0.8279677927494049,0.005467882804931487,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_low,0.3,0.8271629810333252,0.005883030978761007,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_high,0.01,0.8287726283073426,0.005917342664157566,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_high,0.05,0.826961773633957,0.006162329666395489,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_high,0.1,0.8251509130001068,0.006460285161159747,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_high,0.2,0.8241448819637298,0.007097794001601051,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_high,0.3,0.8199195206165314,0.00638971279263927,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_low,0.01,0.8295774579048156,0.00625395624395745,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_low,0.05,0.828370213508606,0.006023126971321815,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_low,0.1,0.8305834889411926,0.005682461741736047,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_low,0.2,0.8277665913105011,0.005720801396346542,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,deg_matched_low,0.3,0.8257545232772827,0.006421001616931853,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_high,0.01,0.826961773633957,0.00594157704291721,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_high,0.05,0.8167002022266387,0.005601007711096204,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_high,0.1,0.8130784749984741,0.0052038391363282465,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_high,0.2,0.8104627728462219,0.00488564633970734,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_high,0.3,0.8070422530174255,0.005037817326479374,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_low,0.05,0.8291750431060791,0.0062565451101305606,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_low,0.1,0.830181074142456,0.0061898669435863935,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_low,0.2,0.82776660323143,0.006235475330223045,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,conf_low,0.3,0.8247484982013702,0.006772347427428894,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,random,0.01,0.8281690061092377,0.006143911254937628,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,random,0.05,0.8275653958320618,0.006240991845998997,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,random,0.1,0.8225352108478546,0.0057321098012852335,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,random,0.2,0.8239436686038971,0.006313224687079011,10
cora,GeneralSheaf,5,3,true,last,gating,hard,acc,random,0.3,0.8193158984184266,0.00525300869368789,10
