dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,baseline,,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.05,0.8081081092357636,0.02430930283995383,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.1,0.8108108103275299,0.02447401180544978,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.2,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.3,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.2,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.3,0.8081081092357636,0.022106058794979292,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.01,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.05,0.8027027070522308,0.025367997200935306,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.1,0.8054054081439972,0.025583044552045468,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.2,0.8054054021835327,0.025866995286411485,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.3,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.2,0.8054054081439972,0.021212342221820734,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.3,0.8054054081439972,0.021212342221820734,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.01,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.05,0.8135135114192963,0.026328818125668806,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.1,0.8054054021835327,0.025005476475762584,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.2,0.8135135173797607,0.025482915941232,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.3,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_low,0.05,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_low,0.1,0.8108108103275299,0.02324952636298441,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_low,0.2,0.8135135114192963,0.02339048111419532,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_low,0.3,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_high,0.01,0.8162162125110626,0.024414246048833448,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_high,0.05,0.8135135114192963,0.0243093027074173,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_high,0.1,0.8081081092357636,0.02430930283995383,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_high,0.2,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_high,0.3,0.8081081092357636,0.025482915498717482,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_low,0.2,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,conf_low,0.3,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,random,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,random,0.05,0.8135135173797607,0.024903024557313427,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,random,0.1,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,random,0.2,0.8054054081439972,0.02411319832153725,10
cornell,GeneralSheaf,2,2,true,last,gating,hard,acc,random,0.3,0.8162162125110626,0.0250054750584491,10
