dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,baseline,,0.9545874074550147,0.0019660450863457227,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,high,0.01,0.9518995149282933,0.0020750930932349684,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,high,0.05,0.9415837036933997,0.003068773490616017,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,high,0.1,0.9271353566074965,0.003925790451991359,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,high,0.2,0.9009466870596752,0.004706918167697977,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,high,0.3,0.8777148577417334,0.005328100340640634,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,low,0.01,0.9545155232313356,0.00198000888117165,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,low,0.05,0.9542581584582809,0.0019900580565494247,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,low,0.1,0.9536295857381877,0.002077114529210595,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,low,0.2,0.950202265197041,0.002249048936325421,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,low,0.3,0.9457952363329252,0.002230093972009997,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_high,0.01,0.9535519411092409,0.0018867148161691518,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_high,0.05,0.949683722510918,0.002077985495615086,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_high,0.1,0.9444828319499287,0.00228283969787399,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_high,0.2,0.9332252970300681,0.0027809885366737543,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_high,0.3,0.9206650680954802,0.0027537548114982486,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_low,0.01,0.9539907968692181,0.002033465658519043,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_low,0.05,0.9510434552494527,0.0020699232621286725,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_low,0.1,0.9461945001646196,0.0024375001850929275,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_low,0.2,0.935775699843837,0.002862656716416103,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_low,0.3,0.9222845934598155,0.003272923557969738,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_matched_high,0.01,0.953794390298024,0.00203707191622751,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_matched_high,0.05,0.9499568992650627,0.001989760451449841,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_matched_high,0.1,0.9452844889699377,0.0023481932302061507,10
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,deg_matched_high,0.2,0.9398555529360824,0.0022719058669571175,10
