dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,high,0.01,0.9427527540867092
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,high,0.05,0.920877912732257
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,high,0.1,0.9011082977967305
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,high,0.2,0.8669582571834704
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,high,0.3,0.84605353335364
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,low,0.01,0.9509087216976343
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,low,0.05,0.9510673672454056
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,low,0.1,0.9503502893694792
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,low,0.2,0.948590910244695
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,low,0.3,0.9472297314448167
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_high,0.01,0.9494777388567367
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_high,0.05,0.9454005482790132
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_high,0.1,0.9417390090364504
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_high,0.2,0.9299056376281857
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_high,0.3,0.9176312315971165
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_low,0.01,0.9495237460655904
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_low,0.05,0.9467442760686363
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_low,0.1,0.9413027337800791
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_low,0.2,0.9325010787897248
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_low,0.3,0.9187861711848918
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_high,0.01,0.9490763656208753
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_high,0.05,0.9458463422682506
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_high,0.1,0.9416311300639659
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_high,0.2,0.9394243704944666
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_high,0.3,0.9316999187734796
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_low,0.01,0.9493317849527872
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_low,0.05,0.9446850568585643
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_low,0.1,0.9417913620672149
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_low,0.2,0.926066415372119
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,deg_matched_low,0.3,0.9061675043151589
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_high,0.01,0.9497157071783937
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_high,0.05,0.9480467560158391
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_high,0.1,0.9450213854198396
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_high,0.2,0.9309796679865977
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_high,0.3,0.9148723855213727
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_low,0.01,0.9500456899177582
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_low,0.05,0.9460097471824551
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_low,0.1,0.9442122931262058
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_low,0.2,0.9370256498121637
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,conf_low,0.3,0.9266089831454971
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,random,0.01,0.9503836049345111
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,random,0.05,0.9451229185704133
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,random,0.1,0.9414106127525637
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,random,0.2,0.9219765331505736
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,0,random,0.3,0.9129051807290081
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,baseline,,0.9601680562793121
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,high,0.01,0.9578758157770664
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,high,0.05,0.9468829871708977
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,high,0.1,0.9329201717164197
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,high,0.2,0.9091556242090375
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,high,0.3,0.8838262115685253
minesweeper,GeneralSheaf,5,6,true,last,gating,hard,auc,1,low,0.01,0.9600765527680587
