dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,high,0.01,0.8892241358757019,0.0013447426085514901,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,high,0.05,0.88775355219841,0.0014230649815857683,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,high,0.1,0.8866125762462616,0.001650140176834863,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,high,0.2,0.8848630785942078,0.00157137466558007,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,high,0.3,0.8841785013675689,0.0016748896035019237,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,low,0.01,0.8907707870006562,0.0013154327677105206,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,low,0.05,0.8908468604087829,0.0013650560055398495,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,low,0.1,0.8909736275672913,0.0013550110020211022,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,low,0.2,0.8904918909072876,0.0013935776895273786,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,low,0.3,0.8899594247341156,0.0013836475207002976,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_high,0.01,0.8895283997058868,0.001489718257919874,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_high,0.05,0.8880324602127075,0.0016413112673534865,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_high,0.1,0.886130827665329,0.0016268540999236454,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_high,0.2,0.884153139591217,0.0016402338411995068,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_high,0.3,0.8828853845596314,0.001641411014859181,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_low,0.01,0.8907707870006562,0.0013343571897824476,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_low,0.05,0.8909482717514038,0.0013646814931642561,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_low,0.1,0.8909229218959809,0.0014426959492583663,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_low,0.2,0.8911257565021515,0.00143617728169838,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_low,0.3,0.8910496890544891,0.0015230102218837737,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_high,0.01,0.8905933022499084,0.0014919609052307114,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_high,0.05,0.8898833632469177,0.0013267463973342286,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_high,0.1,0.8891987800598145,0.0012519311741076122,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_high,0.2,0.8898833632469177,0.0013277144108028366,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_high,0.3,0.8895791172981262,0.00125359822591408,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_low,0.01,0.8908214926719665,0.001380483819500657,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_low,0.05,0.8907454371452331,0.001404145496168131,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_low,0.1,0.8913539588451386,0.0013532292707299288,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_low,0.2,0.8903651058673858,0.0013175825896963558,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,deg_matched_low,0.3,0.8909482836723328,0.0015586395992848374,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_high,0.01,0.8902636766433716,0.0013343575068997023,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_high,0.05,0.8899087250232697,0.0013690759234369454,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_high,0.1,0.8893001914024353,0.0014099724440085463,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_high,0.2,0.8879563868045807,0.001466407386777608,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_high,0.3,0.8863336682319641,0.0015293293011387598,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_low,0.01,0.8906693637371064,0.001320311035600748,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_low,0.05,0.8908722043037415,0.0014468753969305618,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_low,0.1,0.8908468544483185,0.0013355370884035032,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_low,0.2,0.8907961428165436,0.0014897209361113353,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,conf_low,0.3,0.890263682603836,0.0013877297333691164,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,random,0.01,0.8909736275672913,0.0014180698151538022,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,random,0.05,0.8900608420372009,0.0014919371710353938,10
pubmed,GeneralSheaf,3,4,true,last,gating,hard,acc,random,0.1,0.8903144061565399,0.0017114867597541386,10
