dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,baseline,,0.7666904866904174,0.004547703458270768,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,high,0.01,0.7597152218032874,0.004536940083368869,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,high,0.05,0.7575578318621872,0.004508586246602274,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,high,0.1,0.7567030239500911,0.004298763028773434,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,high,0.2,0.7572239667150764,0.004580078052026752,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,high,0.3,0.7571151142091253,0.004674623287620078,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,low,0.01,0.7662776922206651,0.004556256927211864,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,low,0.05,0.7662609412411194,0.004557255790904181,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,low,0.1,0.7661985320092632,0.004651368442584376,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,low,0.2,0.7659514579470758,0.004762923934969961,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,low,0.3,0.7662257768829557,0.004830758040170639,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_high,0.01,0.7626593536500049,0.004546299713252672,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_high,0.05,0.7591529153169295,0.004577429942626602,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_high,0.1,0.7594484298409869,0.004593594580475624,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_high,0.2,0.7598195142562265,0.00455491118256102,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_high,0.3,0.7603827558420628,0.004592450261275074,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_low,0.01,0.7666318294009129,0.004572323945347844,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_low,0.05,0.7665536966444936,0.0046499327438743725,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_low,0.1,0.7662875049929695,0.004629719803773221,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_low,0.2,0.7656351403457329,0.0048561942182862835,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_low,0.3,0.7654001417656986,0.004783701337007858,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_high,0.01,0.7668295740795044,0.004650034468569935,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_high,0.05,0.7667427483612671,0.004682301154791026,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_high,0.1,0.7663841550279491,0.004557505280277116,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_high,0.2,0.766895527453828,0.00471272783322435,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_high,0.3,0.7671048858370526,0.004770308163534914,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_low,0.01,0.7666351311101824,0.004506129003559282,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_low,0.05,0.7667798868183298,0.004533160410072506,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_low,0.1,0.7662458642050847,0.004656435757237197,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_low,0.2,0.7662215631630837,0.0047033779758664344,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,deg_matched_low,0.3,0.7662451599943664,0.004627131650533978,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_high,0.01,0.7657051573622344,0.00451425519531432,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_high,0.05,0.7645758573476885,0.004521985488242024,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_high,0.1,0.7631299049430975,0.004533593255668118,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_high,0.2,0.7615005806852315,0.004605007016301659,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_high,0.3,0.7616356967876446,0.004507907686265039,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_low,0.01,0.7656105506927817,0.004516708548675008,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_low,0.05,0.7643819569669529,0.004393458108057629,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_low,0.1,0.763757887737267,0.004236904667362574,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_low,0.2,0.7621993770621251,0.0046709568417076085,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,conf_low,0.3,0.7619670106139562,0.0046797116685991505,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,random,0.01,0.7664333920560413,0.004561679967205554,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,random,0.05,0.7662097416585663,0.004597609627446761,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,random,0.1,0.7661973082988347,0.004353067330657079,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,random,0.2,0.7652088042502003,0.004663226013179785,10
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,random,0.3,0.7641736953053389,0.004796840277082687,10
