dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,baseline,,0.7659957424112637
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,high,0.01,0.7596932873710773
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,high,0.05,0.7583697175537797
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,high,0.1,0.7569468655696372
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,high,0.2,0.7538654241772855
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,high,0.3,0.7523854272250174
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,low,0.01,0.7657570034333159
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,low,0.05,0.7670597932622041
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,low,0.1,0.7665686928694624
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,low,0.2,0.766638652163774
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,low,0.3,0.766875544031641
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_high,0.01,0.7627084636892791
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_high,0.05,0.7590343308497398
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_high,0.1,0.7588695917194055
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_high,0.2,0.7597817177661974
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_high,0.3,0.7600838357087938
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_low,0.01,0.7657096712374946
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_low,0.05,0.7660045161841477
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_low,0.1,0.7665888956359714
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_low,0.2,0.7660506939361684
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_low,0.3,0.7661967310769343
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_high,0.01,0.766809163513111
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_high,0.05,0.7653404801100878
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_high,0.1,0.7638980025813363
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_high,0.2,0.7653729199808824
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_high,0.3,0.7662210898411254
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_low,0.01,0.7660850963614241
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_low,0.05,0.7659989748539051
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_low,0.1,0.7650288957283271
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_low,0.2,0.7654846701407728
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,deg_matched_low,0.3,0.7632221911805113
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_high,0.01,0.7662498354917584
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_high,0.05,0.7653060776848322
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_high,0.1,0.7617857167595223
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_high,0.2,0.7595088072517542
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_high,0.3,0.7580251160793241
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_low,0.01,0.7648102440725083
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_low,0.05,0.7640420771676414
questions,GeneralSheaf,5,4,true,last,gating,hard,auc,0,conf_low,0.1,0.7669667450918822
