dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.01,0.8657401323318481,0.002261212431188622,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.05,0.8509596288204193,0.002791009244121855,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.1,0.8385616540908813,0.003089689547276522,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.2,0.8126847565174102,0.003787394694002193,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,high,0.3,0.7882197260856628,0.0036993192779384747,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.01,0.8700198590755462,0.002146291801224807,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.05,0.8679682374000549,0.002224990707954419,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.1,0.8649680137634277,0.001897827617586681,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.2,0.8578204274177551,0.002027702306281358,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,low,0.3,0.846459299325943,0.0013581070264023663,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.01,0.8644606173038483,0.0019536121221375396,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.05,0.8507169544696808,0.0021865573486839615,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.1,0.8381204545497895,0.0018345482215215885,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.2,0.818971985578537,0.0026962871885718694,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_high,0.3,0.8030222892761231,0.0028946220386141617,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.01,0.8693801045417786,0.0022355039118234343,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.05,0.8639532387256622,0.0021809862542418157,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.1,0.856055599451065,0.001979855602783602,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.2,0.8402823626995086,0.0021508653126067886,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_low,0.3,0.8241782546043396,0.0025496773156227026,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.01,0.8679682314395905,0.0020310552842982606,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.05,0.8598499834537506,0.001594176903783309,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.1,0.8510037541389466,0.0018763560584523077,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.2,0.83668652176857,0.0019380688628297723,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_high,0.3,0.823516434431076,0.00244463241472721,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_low,0.01,0.8693580389022827,0.0022108499877055167,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_low,0.05,0.8625634253025055,0.002052925884238967,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_low,0.1,0.853540700674057,0.001891921190258361,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_low,0.2,0.8290315449237824,0.0023465049513821,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,deg_matched_low,0.3,0.8041473686695099,0.002703966716367688,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_high,0.01,0.869468343257904,0.002090756270391769,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_high,0.05,0.8619457244873047,0.0021587242217443133,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_high,0.1,0.8521508991718292,0.0025523112976549647,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_high,0.2,0.8321641325950623,0.0029796810462881327,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_high,0.3,0.8078535258769989,0.0036369624252432804,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_low,0.01,0.8695345282554626,0.002110713662061703,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_low,0.05,0.8626075387001038,0.0021184461356520065,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_low,0.1,0.8544231235980988,0.0017480587026097417,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_low,0.2,0.8351864099502564,0.0012076734656877226,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,conf_low,0.3,0.8156849801540375,0.0020293800871069856,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,random,0.01,0.868960952758789,0.0020436579605398416,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,random,0.05,0.862122219800949,0.0021914391718531492,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,random,0.1,0.8538716077804566,0.0023091285106602824,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,random,0.2,0.8343260526657105,0.0017389979530706267,10
roman_empire,GeneralSheaf,5,5,true,last,gating,hard,acc,random,0.3,0.8170527279376983,0.002389473464988546,10
