dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,baseline,,0.8536274940419544,0.0021922944388262817,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,high,0.01,0.8531409542091322,0.0020974511180457582,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,high,0.05,0.8518425205176383,0.001899056372968239,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,high,0.1,0.8501063839882439,0.0018286942669649886,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,high,0.2,0.8454612435573126,0.001488488604591298,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,high,0.3,0.8407833982685743,0.0015877583966455251,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,low,0.01,0.8532330361766564,0.0021948939686360597,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,low,0.05,0.8529171716432277,0.002208619203889295,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,low,0.1,0.8523861328691617,0.0022355590479540897,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,low,0.2,0.8513936336350992,0.002351502624525842,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,low,0.3,0.850482642362721,0.002388985446986744,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_high,0.01,0.8533794115972443,0.0022346941678298496,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_high,0.05,0.852665090055283,0.0021258891758427247,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_high,0.1,0.8507066282748916,0.0021669340576080426,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_high,0.2,0.8474380403927022,0.002215051871182044,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_high,0.3,0.8445091424481264,0.002397738265860156,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_low,0.01,0.8535730650247133,0.0022222340843455397,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_low,0.05,0.8527729652494788,0.0022381670747766537,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_low,0.1,0.8522492808320387,0.002259728599869679,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_low,0.2,0.8518364540206977,0.0023033761730078877,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_low,0.3,0.8515800682701198,0.0022883660576125888,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_high,0.01,0.8535707943247413,0.0021626800541024614,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_high,0.05,0.8535227368238398,0.0021668077676110157,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_high,0.1,0.853001899254126,0.002208004142075034,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_high,0.2,0.852241553673925,0.0022789120579759345,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_high,0.3,0.8514041398588507,0.002332934123025874,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_low,0.01,0.8535845879797955,0.002200322081083698,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_low,0.05,0.8531263810600578,0.0022851610316737088,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_low,0.1,0.8525557914372243,0.002259901833107196,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_low,0.2,0.8524701826591727,0.0021779997010457405,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,deg_matched_low,0.3,0.8512635598068481,0.0021633508117373398,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_high,0.01,0.8537372332435899,0.002203132128052503,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_high,0.05,0.8538878789357669,0.0021445621187740657,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_high,0.1,0.853822028636577,0.0021377428731489227,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_high,0.2,0.8534532601829034,0.0020977470401639265,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_high,0.3,0.8520100778409505,0.002032349201856924,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_low,0.01,0.8537466549539218,0.002173142286217616,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_low,0.05,0.8533962215552465,0.0021456691159563086,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_low,0.1,0.8525549441611154,0.002111703024781692,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_low,0.2,0.8514931377413382,0.0020964789551627997,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,conf_low,0.3,0.8490279370656862,0.0021191163296187553,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,random,0.01,0.8536009573542211,0.0021601702823913858,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,random,0.05,0.8534671216200461,0.0021173510448521363,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,random,0.1,0.8537103915364572,0.0022389199643295344,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,random,0.2,0.8530796114188417,0.002256998483785246,10
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,random,0.3,0.8522987617568034,0.0021623900180885005,10
