dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,baseline,,0.8484233208343162
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,high,0.01,0.8493102494651995
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,high,0.05,0.8482670831198198
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,high,0.1,0.8470659845077257
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,high,0.2,0.8439683430532848
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,high,0.3,0.8410194832835813
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,low,0.01,0.8475153797559304
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,low,0.05,0.8469192362856501
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,low,0.1,0.8455690170783751
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,low,0.2,0.8438646364575454
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,low,0.3,0.8431647863915257
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_high,0.01,0.8479061434973933
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_high,0.05,0.8493993829118643
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_high,0.1,0.8484822912515014
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_high,0.2,0.8445505911953778
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_high,0.3,0.8397275566726043
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_low,0.01,0.8489679499171704
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_low,0.05,0.8483284259101099
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_low,0.1,0.8469941354936842
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_low,0.2,0.8469927798519097
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_low,0.3,0.8461028010270342
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_high,0.01,0.8484094255061289
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_high,0.05,0.8485514289819944
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_high,0.1,0.8487059721442728
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_high,0.2,0.8473469412654646
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_high,0.3,0.8454968291538897
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_low,0.01,0.8483904465212877
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_low,0.05,0.8485144877436427
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_low,0.1,0.8483155473132535
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_low,0.2,0.8471341055068881
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,deg_matched_low,0.3,0.8462417543089074
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_high,0.01,0.8485022869676733
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_high,0.05,0.848770704038999
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_high,0.1,0.8486209056229309
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_high,0.2,0.8484236597447599
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_high,0.3,0.8466179449012957
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_low,0.01,0.8488018837998097
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_low,0.05,0.8485707468772792
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_low,0.1,0.8472083268940349
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_low,0.2,0.8449128864595787
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,conf_low,0.3,0.8411994447291292
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,random,0.01,0.8484697515650885
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,random,0.05,0.84792376684046
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,random,0.1,0.8480108668244632
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,random,0.2,0.8472245945953272
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,0,random,0.3,0.8475201245021406
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,1,baseline,,0.8551046013193107
tolokers,GeneralSheaf,3,4,true,last,gating,hard,auc,1,high,0.01,0.8555312895677943
