dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,baseline,,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.01,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.05,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.1,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.2,0.8686274588108063,0.006820598468333602,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,high,0.3,0.8666666746139526,0.006678190333684657,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.01,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.05,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.1,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.2,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,low,0.3,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.01,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.05,0.8666666746139526,0.007231014829619776,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.1,0.8666666746139526,0.007231014829619776,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.2,0.8666666746139526,0.006678190333684657,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_high,0.3,0.864705890417099,0.007042464284576773,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.01,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.05,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.1,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.2,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_low,0.3,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.01,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.05,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.1,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.2,0.8686274588108063,0.007362738131938185,10
wisconsin,GeneralSheaf,2,2,true,last,gating,hard,acc,deg_matched_high,0.3,0.8705882430076599,0.007440652874545747,10
