dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,0,baseline,0.4742773175239563
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,0,conviction,0.44830965995788574
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,0,confidence,0.46317166090011597
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,0,degree,0.4393271207809448
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,1,baseline,0.4571288526058197
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,1,conviction,0.4313245117664337
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,1,confidence,0.4406336843967438
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,1,degree,0.42740488052368164
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,2,baseline,0.4522292912006378
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,2,conviction,0.42201533913612366
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,2,confidence,0.4362240731716156
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,2,degree,0.4158092439174652
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,3,baseline,0.4608851969242096
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,3,conviction,0.42413848638534546
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,3,confidence,0.44618651270866394
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,3,degree,0.42103543877601624
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,4,baseline,0.4677445590496063
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,4,conviction,0.43116119503974915
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,4,confidence,0.4582720994949341
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,4,degree,0.4280581474304199
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,5,baseline,0.45908868312835693
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,5,conviction,0.4368773400783539
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,5,confidence,0.450269490480423
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,5,degree,0.43606075644493103
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,6,baseline,0.4661113917827606
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,6,conviction,0.4388371706008911
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,6,confidence,0.4523926079273224
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,6,degree,0.43328434228897095
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,7,baseline,0.4615384638309479
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,7,conviction,0.4324677586555481
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,7,confidence,0.44618651270866394
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,7,degree,0.4292013645172119
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,8,baseline,0.4715009033679962
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,8,conviction,0.4355708062648773
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,8,confidence,0.4581087827682495
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,8,degree,0.4298546612262726
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,9,baseline,0.46643802523612976
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,9,conviction,0.44128695130348206
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,9,confidence,0.4572921693325043
amazon_ratings,GeneralSheaf,5,5,true,last,gating,soft,acc,9,degree,0.44079700112342834
