dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,0,baseline,0.6240601539611816
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,0,conviction,0.6421052813529968
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,0,confidence,0.6390977501869202
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,0,degree,0.6375939846038818
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,1,baseline,0.6942771077156067
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,1,conviction,0.6882529854774475
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,1,confidence,0.6957831382751465
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,1,degree,0.6777108311653137
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,2,baseline,0.6555891036987305
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,2,conviction,0.6359516382217407
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,2,confidence,0.652567982673645
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,2,degree,0.6374622583389282
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,3,baseline,0.6153846383094788
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,3,conviction,0.6319758892059326
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,3,confidence,0.610859751701355
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,3,degree,0.6304675936698914
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,4,baseline,0.6367924809455872
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,4,conviction,0.676886796951294
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,4,confidence,0.650943398475647
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,4,degree,0.6674528121948242
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,5,baseline,0.5862883925437927
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,5,conviction,0.631205677986145
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,5,confidence,0.5933806300163269
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,5,degree,0.631205677986145
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,6,baseline,0.7088989615440369
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,6,conviction,0.6907994151115417
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,6,confidence,0.7088989615440369
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,6,degree,0.6847662329673767
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,7,baseline,0.6656626462936401
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,7,conviction,0.6626505851745605
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,7,confidence,0.6686747074127197
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,7,degree,0.6671686768531799
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,8,baseline,0.6601208448410034
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,8,conviction,0.6510574221611023
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,8,confidence,0.670694887638092
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,8,degree,0.6510574221611023
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,9,baseline,0.6837349534034729
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,9,conviction,0.6701807379722595
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,9,confidence,0.6852409839630127
citeseer,GeneralSheaf,5,4,true,last,gating,soft,acc,9,degree,0.6686747074127197
