dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,0,baseline,0.8128772377967834
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,0,conviction,0.7706237435340881
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,0,confidence,0.8068410754203796
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,0,degree,0.7645875215530396
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,1,baseline,0.8551307916641235
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,1,conviction,0.8430583477020264
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,1,confidence,0.8531187176704407
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,1,degree,0.8390341997146606
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,2,baseline,0.8430583477020264
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,2,conviction,0.8269617557525635
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,2,confidence,0.8410462737083435
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,2,degree,0.8229376077651978
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,3,baseline,0.8068410754203796
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,3,conviction,0.8108651638031006
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,3,confidence,0.8088530898094177
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,3,degree,0.8048290014266968
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,4,baseline,0.8511066436767578
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,4,conviction,0.8269617557525635
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,4,confidence,0.849094569683075
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,4,degree,0.8169013857841492
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,5,baseline,0.8088530898094177
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,5,conviction,0.786720335483551
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,5,confidence,0.8068410754203796
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,5,degree,0.786720335483551
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,6,baseline,0.8088530898094177
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,6,conviction,0.7847082614898682
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,6,confidence,0.8108651638031006
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,6,degree,0.7847082614898682
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,7,baseline,0.8128772377967834
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,7,conviction,0.7907444834709167
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,7,confidence,0.8148893117904663
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,7,degree,0.786720335483551
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,8,baseline,0.8450704216957092
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,8,conviction,0.8048290014266968
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,8,confidence,0.8410462737083435
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,8,degree,0.800804853439331
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,9,baseline,0.849094569683075
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,9,conviction,0.8289738297462463
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,9,confidence,0.8511066436767578
cora,GeneralSheaf,5,3,true,last,gating,soft,acc,9,degree,0.8209255337715149
