dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,0,baseline,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,0,conviction,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,0,confidence,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,0,degree,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,1,baseline,0.8648648858070374
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,1,conviction,0.8648648858070374
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,1,confidence,0.8648648858070374
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,1,degree,0.8648648858070374
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,2,baseline,0.9459459185600281
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,2,conviction,0.9189189076423645
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,2,confidence,0.9459459185600281
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,2,degree,0.9459459185600281
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,3,baseline,0.7027027010917664
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,3,conviction,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,3,confidence,0.7027027010917664
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,3,degree,0.6756756901741028
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,4,baseline,0.8918918967247009
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,4,conviction,0.8918918967247009
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,4,confidence,0.8918918967247009
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,4,degree,0.8918918967247009
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,5,baseline,0.7837837934494019
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,5,conviction,0.7837837934494019
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,5,confidence,0.7837837934494019
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,5,degree,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,6,baseline,0.8108108043670654
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,6,conviction,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,6,confidence,0.8108108043670654
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,6,degree,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,7,baseline,0.7567567825317383
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,7,conviction,0.7567567825317383
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,7,confidence,0.7567567825317383
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,7,degree,0.7837837934494019
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,8,baseline,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,8,conviction,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,8,confidence,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,8,degree,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,9,baseline,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,9,conviction,0.8108108043670654
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,9,confidence,0.837837815284729
cornell,GeneralSheaf,2,2,true,last,gating,soft,acc,9,degree,0.8108108043670654
