dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,0,baseline,0.9506310919890345
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,0,conviction,0.933241953497817
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,0,confidence,0.9474264519240532
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,0,degree,0.9500361711848919
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,1,baseline,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,1,conviction,0.9474102955408322
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,1,confidence,0.953440221841733
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,1,degree,0.9598485694434103
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,2,baseline,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,2,conviction,0.9421174690320909
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,2,confidence,0.9576391747825135
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,2,degree,0.9614174742775213
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,3,baseline,0.9421739183034014
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,3,conviction,0.9127247926735583
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,3,confidence,0.9340381323380856
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,3,degree,0.9417323477640198
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,4,baseline,0.9473994391920395
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,4,conviction,0.9207222883942529
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,4,confidence,0.9428630363036303
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,4,degree,0.9466674111020126
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,5,baseline,0.9570612609889417
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,5,conviction,0.9333531701050405
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,5,confidence,0.9491470188165949
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,5,degree,0.9564173530819416
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,6,baseline,0.9630511923372789
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,6,conviction,0.9352031067768432
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,6,confidence,0.9566040720613415
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,6,degree,0.9628976525472096
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,7,baseline,0.9535534355562866
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,7,conviction,0.9359309416330086
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,7,confidence,0.9470304780354672
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,7,degree,0.9532716827798795
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,8,baseline,0.9568078892446285
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,8,conviction,0.9345499296420323
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,8,confidence,0.9534705844859456
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,8,degree,0.9561999179565628
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,9,baseline,0.9534434707477708
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,9,conviction,0.9388660930537946
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,9,confidence,0.9443854404014979
minesweeper,GeneralSheaf,5,6,true,last,gating,soft,auc,9,degree,0.9540673020388366
