dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,0,baseline,0.892241358757019
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,0,conviction,0.883874237537384
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,0,confidence,0.8945233225822449
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,0,degree,0.8813387155532837
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,1,baseline,0.8985801339149475
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,1,conviction,0.8876774907112122
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,1,confidence,0.898326575756073
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,1,degree,0.8861562013626099
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,2,baseline,0.8861562013626099
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,2,conviction,0.8836206793785095
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,2,confidence,0.8861562013626099
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,2,degree,0.8836206793785095
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,3,baseline,0.8912271857261658
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,3,conviction,0.8869168162345886
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,3,confidence,0.8909736275672913
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,3,degree,0.8846349120140076
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,4,baseline,0.8945233225822449
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,4,conviction,0.8866632580757141
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,4,confidence,0.8950304388999939
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,4,degree,0.8876774907112122
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,5,baseline,0.8884381055831909
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,5,conviction,0.8757606744766235
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,5,confidence,0.8866632580757141
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,5,degree,0.8752535581588745
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,6,baseline,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,6,conviction,0.8886916637420654
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,6,confidence,0.8935091495513916
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,6,degree,0.8881846070289612
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,7,baseline,0.8879310488700867
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,7,conviction,0.8907200694084167
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,7,confidence,0.889452338218689
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,7,degree,0.8886916637420654
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,8,baseline,0.883367121219635
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,8,conviction,0.8762677311897278
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,8,confidence,0.883367121219635
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,8,degree,0.8747464418411255
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,9,baseline,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,9,conviction,0.8902129530906677
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,9,confidence,0.8940162062644958
pubmed,GeneralSheaf,3,4,true,last,gating,soft,acc,9,degree,0.8886916637420654
