dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,0,baseline,0.7659955115225037
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,0,conviction,0.7644463633865841
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,0,confidence,0.7657133654576562
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,0,degree,0.7635326211184714
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,1,baseline,0.7648088587399478
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,1,conviction,0.7709604279754056
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,1,confidence,0.7645022384665292
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,1,degree,0.7711985897314533
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,2,baseline,0.7653573349895754
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,2,conviction,0.7555481414609255
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,2,confidence,0.7646376547243303
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,2,degree,0.753458829070742
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,3,baseline,0.7610447947283479
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,3,conviction,0.753113650374386
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,3,confidence,0.759982475543108
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,3,degree,0.7518480336358746
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,4,baseline,0.7793190628687006
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,4,conviction,0.7748079582737832
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,4,confidence,0.7788893788861464
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,4,degree,0.7724942220087785
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,5,baseline,0.7707487029823902
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,5,conviction,0.7660617765966535
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,5,confidence,0.7687136494508311
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,5,degree,0.7640851379214009
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,6,baseline,0.7297185004236809
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,6,conviction,0.7217412937620784
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,6,confidence,0.7286954323276589
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,6,degree,0.7205474834279593
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,7,baseline,0.7874411522272685
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,7,conviction,0.7827655393907769
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,7,confidence,0.7856544195572015
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,7,degree,0.7817454728486362
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,8,baseline,0.7740447554772587
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,8,conviction,0.770952346868802
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,8,confidence,0.77362707771023
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,8,degree,0.7697598064228635
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,9,baseline,0.7684252693894609
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,9,conviction,0.7692920257948923
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,9,confidence,0.7698568951464875
questions,GeneralSheaf,5,4,true,last,gating,soft,auc,9,degree,0.7681150703402608
