dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,0,baseline,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,0,conviction,0.8116037845611572
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,0,confidence,0.8552834987640381
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,0,degree,0.7207147479057312
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,1,baseline,0.8740348815917969
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,1,conviction,0.8030002117156982
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,1,confidence,0.8702845573425293
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,1,degree,0.7163026928901672
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,2,baseline,0.8716081976890564
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,2,conviction,0.8188837170600891
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,2,confidence,0.8674167394638062
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,2,degree,0.728656530380249
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,3,baseline,0.877564549446106
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,3,conviction,0.8184425234794617
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,3,confidence,0.8680785298347473
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,3,degree,0.7315243482589722
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,4,baseline,0.8713876008987427
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,4,conviction,0.8127068281173706
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,4,confidence,0.8612397909164429
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,4,degree,0.7151996493339539
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,5,baseline,0.8766821026802063
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,5,conviction,0.8255018591880798
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,5,confidence,0.8687403202056885
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,5,degree,0.7474079132080078
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,6,baseline,0.8762409090995789
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,6,conviction,0.8149128556251526
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,6,confidence,0.8702845573425293
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,6,degree,0.7306419610977173
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,7,baseline,0.8720493912696838
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,7,conviction,0.8127068281173706
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,7,confidence,0.8652106523513794
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,7,degree,0.7454224824905396
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,8,baseline,0.8568277359008789
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,8,conviction,0.8065298795700073
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,8,confidence,0.8526362180709839
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,8,degree,0.7163026928901672
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,9,baseline,0.8733730316162109
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,9,conviction,0.8102801442146301
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,9,confidence,0.8674167394638062
roman_empire,GeneralSheaf,5,5,true,last,gating,soft,acc,9,degree,0.7388043403625488
