dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,indicator,value
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,0,baseline,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,0,conviction,0.830841663752037
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,0,confidence,0.8449149199222403
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,0,degree,0.8282656054702856
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,1,baseline,0.8551042624088669
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,1,conviction,0.844293019258247
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,1,confidence,0.8508556810879838
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,1,degree,0.8415003972030399
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,2,baseline,0.861230407587256
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,2,conviction,0.854113966092688
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,2,confidence,0.8607044185787994
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,2,degree,0.8444733196142387
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,3,baseline,0.8531324814480424
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,3,conviction,0.8391185346054675
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,3,confidence,0.8502795333338756
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,3,degree,0.8362567748197675
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,4,baseline,0.8659188946639229
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,4,conviction,0.8562768925436992
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,4,confidence,0.8631459294144441
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,4,degree,0.8490872463933149
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,5,baseline,0.8431054770638968
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,5,conviction,0.8382773588844694
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,5,confidence,0.843932418546264
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,5,degree,0.8326175544764648
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,6,baseline,0.856036266128748
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,6,conviction,0.8419125123024491
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,6,confidence,0.8518758015231993
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,6,degree,0.8362045826114541
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,7,baseline,0.842917042857259
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,7,conviction,0.8300825043583883
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,7,confidence,0.8396452014348113
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,7,degree,0.8260928506164101
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,8,baseline,0.8534632580409892
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,8,conviction,0.8345378210498634
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,8,confidence,0.8459170781039451
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,8,degree,0.8335054998386786
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,9,baseline,0.8569421737444723
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,9,conviction,0.8509404086988821
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,9,confidence,0.8523851839199197
tolokers,GeneralSheaf,3,4,true,last,gating,soft,auc,9,degree,0.848184388971583
