dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.01,0.4585007309913635,0.002313273476856759,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.05,0.4549567252397537,0.002123022937194083,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.1,0.45191898941993713,0.002159816719266615,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.2,0.44620284140110017,0.002602200582006139,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.3,0.44358974099159243,0.0024871064259090786,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.01,0.4636616051197052,0.0020408954320541703,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.05,0.46328596770763397,0.002057042522900062,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.1,0.46297567188739774,0.002002075641341159,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.2,0.46225706338882444,0.0020892273342665,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.3,0.4612444907426834,0.0023592412963266917,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.01,0.458500736951828,0.0022847341238914427,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.05,0.45639392733573914,0.0023580461983909403,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.1,0.45544667541980743,0.0021533363046348296,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.2,0.45084108710289,0.0023054263966123104,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.3,0.44781969487667084,0.0025121359685199626,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.01,0.4637759268283844,0.002174781458439196,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.05,0.46380858719348905,0.002328815605653355,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.1,0.4634819537401199,0.0024521127423259587,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.2,0.4616037875413895,0.0023385045671910484,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.3,0.4593009948730469,0.0022525000921739553,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.01,0.4625673681497574,0.0020536705310558144,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.05,0.4614241361618042,0.0020726734972192217,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.1,0.4616364538669586,0.002220316638446032,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.2,0.4612934857606888,0.001863729083174418,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.3,0.45997059941291807,0.0016636380909905136,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.01,0.4634002953767776,0.00205796996931976,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.05,0.46343295872211454,0.002309005561580349,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.1,0.4625836968421936,0.0023196079053467824,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.2,0.46067287027835846,0.0022688992296368213,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.3,0.45672055780887605,0.00237214308283581,10
