dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.01,0.45807610750198363,0.0020210380374935015,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.05,0.4526375949382782,0.00209573552623308,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.1,0.44909357726573945,0.0018964390851732521,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.2,0.44515760242938995,0.001855525943009988,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.3,0.4425771713256836,0.0018277756677322664,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.01,0.4637432634830475,0.002035824868732395,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.05,0.46369426846504214,0.002099619977036729,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.1,0.4639065802097321,0.0020295236731021683,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.2,0.4631389886140823,0.0018679539288009904,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.3,0.4610975056886673,0.0022028112336145763,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.01,0.45789645314216615,0.002068034976613414,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.05,0.45557733476161955,0.002140563106660764,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.1,0.45376449525356294,0.002214301741070529,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.2,0.4491099208593369,0.001986380902515262,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.3,0.4455658972263336,0.0017808166739638413,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.01,0.4635962784290314,0.0021615137109329756,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.05,0.46377592980861665,0.0022418177422883537,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.1,0.4634819537401199,0.0022736456270972755,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.2,0.46148946285247805,0.0021827381703176437,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.3,0.46029724180698395,0.0019446845272012782,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.01,0.46246937811374667,0.0019399961504862602,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.05,0.46194675862789153,0.0021533621624931364,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.1,0.4625347048044205,0.0020559284440578958,10
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.2,0.4619794189929962,0.0019318673110397568,10
