dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,baseline,,0.4742773175239563
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,high,0.01,0.46545809507369995
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,high,0.05,0.4592519998550415
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,high,0.1,0.45467907190322876
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,high,0.2,0.450269490480423
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,high,0.3,0.4479830265045166
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,low,0.01,0.4742773175239563
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,low,0.05,0.4742773175239563
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,low,0.1,0.4752572178840637
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,low,0.2,0.47346073389053345
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,low,0.3,0.47231748700141907
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_high,0.01,0.46447819471359253
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_high,0.05,0.46447819471359253
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_high,0.1,0.4603952169418335
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_high,0.2,0.45353585481643677
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_high,0.3,0.4519026577472687
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_low,0.01,0.4752572178840637
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_low,0.05,0.4770537316799164
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_low,0.1,0.4749305844306946
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_low,0.2,0.4705209732055664
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_low,0.3,0.4667646586894989
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_high,0.01,0.4726441204547882
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_high,0.05,0.4737873673439026
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_high,0.1,0.47248080372810364
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_high,0.2,0.46970438957214355
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_high,0.3,0.4698677062988281
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_low,0.01,0.47411400079727173
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_low,0.05,0.4764004647731781
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_low,0.1,0.47035765647888184
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_low,0.2,0.47133758664131165
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,deg_matched_low,0.3,0.4661113917827606
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_high,0.01,0.4667646586894989
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_high,0.05,0.46594807505607605
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_high,0.1,0.463008314371109
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_high,0.2,0.4572921693325043
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_high,0.3,0.4512493908405304
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_low,0.01,0.47411400079727173
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_low,0.05,0.473624050617218
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_low,0.1,0.47248080372810364
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_low,0.2,0.47248080372810364
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,conf_low,0.3,0.473624050617218
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,random,0.01,0.47395068407058716
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,random,0.05,0.47574716806411743
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,random,0.1,0.4693777561187744
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,random,0.2,0.47084763646125793
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,0,random,0.3,0.46545809507369995
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,1,baseline,,0.4571288526058197
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,1,high,0.01,0.4533725380897522
amazon_ratings,GeneralSheaf,5,5,true,avg,masking,zero,acc,1,high,0.05,0.4432467818260193
