dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,high,0.01,0.6525619268417359,0.011044319572272827,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,high,0.05,0.6496766209602356,0.010935080234189785,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,high,0.1,0.6484906673431396,0.010596447404243281,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,high,0.2,0.6456709563732147,0.010775691640622885,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,high,0.3,0.6470913708209991,0.009499077209820126,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,low,0.01,0.6528629243373871,0.011282076696921777,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,low,0.05,0.6540038585662842,0.011012070839354056,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,low,0.1,0.6547117352485656,0.011007477887842978,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,low,0.2,0.6573985755443573,0.010566840751591063,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,low,0.3,0.6633336961269378,0.008965866219470596,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_high,0.01,0.6540445208549499,0.011141515058278102,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_high,0.05,0.65634526014328,0.010451031128868008,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_high,0.1,0.6581947565078735,0.009493990881393747,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_high,0.2,0.6618418455123901,0.007874549155062444,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_high,0.3,0.6619448125362396,0.007298334670577357,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_low,0.01,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_low,0.05,0.6534666955471039,0.011342494134911887,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_low,0.1,0.6528419196605683,0.011516754405913803,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_low,0.2,0.6535954892635345,0.01115045708901645,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_low,0.3,0.654559975862503,0.00986398459047905,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_high,0.01,0.6542426526546479,0.011516232141340167,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_high,0.05,0.6577699065208436,0.010697469972831733,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_high,0.1,0.6598061323165894,0.010186311124967892,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_high,0.2,0.664515632390976,0.008538620045830805,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_high,0.3,0.6646226525306702,0.008745953513486554,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_low,0.01,0.6529303252696991,0.011489925986592448,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_low,0.05,0.6536571860313416,0.01115574228979423,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_low,0.1,0.6541071772575379,0.010775660469567789,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_low,0.2,0.656605476140976,0.010902124326742774,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,deg_matched_low,0.3,0.6577163219451905,0.008940986797549464,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_high,0.01,0.6529964745044708,0.011214208444003811,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_high,0.05,0.6511183261871338,0.010951830251122457,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_high,0.1,0.6504945576190948,0.011108981301162342,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_high,0.2,0.6499525964260101,0.010078727250340619,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_high,0.3,0.6519966542720794,0.00868500693268195,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_low,0.01,0.6538536012172699,0.01132632632776959,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_low,0.05,0.6546898186206818,0.01131704523549824,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_low,0.1,0.6552068769931794,0.01142739664596905,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_low,0.2,0.6572508692741394,0.011268007753601554,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,conf_low,0.3,0.6615715563297272,0.01031868498604803,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,random,0.01,0.6536835670471192,0.01126479259465436,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,random,0.05,0.6553184390068054,0.010908394733547435,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,random,0.1,0.6582146048545837,0.009846144619353858,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,random,0.2,0.6578653514385223,0.009796222640928361,10
citeseer,GeneralSheaf,5,4,true,avg,masking,mean,acc,random,0.3,0.6612217009067536,0.00922216665552808,10
