dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,high,0.01,0.6526269555091858,0.01118176221353448,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,high,0.05,0.6497410893440246,0.011140512154278425,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,high,0.1,0.6485363900661468,0.010843572365971771,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,high,0.2,0.6456541180610657,0.011145209616472055,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,high,0.3,0.6484495162963867,0.010174553579056647,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,low,0.01,0.652712094783783,0.011332973829685183,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,low,0.05,0.653465461730957,0.011325002467893521,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,low,0.1,0.6543443918228149,0.011255809742333263,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,low,0.2,0.6573326647281647,0.010809048550228332,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,low,0.3,0.6635887503623963,0.009257980257409124,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_high,0.01,0.6533364117145538,0.011322101155764505,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_high,0.05,0.6554878056049347,0.01053216176463787,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_high,0.1,0.6570154130458832,0.009619267668734522,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_high,0.2,0.6604465246200562,0.007523963091592249,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_high,0.3,0.6635564267635345,0.007728228000153519,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_low,0.01,0.6533167719841003,0.011351011284357818,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_low,0.05,0.6534006595611572,0.011404816344114188,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_low,0.1,0.6537869930267334,0.011104090044451296,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_low,0.2,0.6539827287197113,0.010891823190451226,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_low,0.3,0.6546452224254609,0.009662482845009812,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_high,0.01,0.6542430937290191,0.011238795711104326,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_high,0.05,0.6579210758209229,0.010446535834284395,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_high,0.1,0.6599369704723358,0.01015625708679231,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_high,0.2,0.6635732889175415,0.008695804788014306,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_high,0.3,0.6640185594558716,0.00921756491458066,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_low,0.01,0.6530811548233032,0.011439439445484813,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_low,0.05,0.6537232220172882,0.011122704534211396,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_low,0.1,0.6538730204105377,0.01060708602891966,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_low,0.2,0.6566069424152374,0.010893458437823604,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,deg_matched_low,0.3,0.6569623947143555,0.009238677413688733,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_high,0.01,0.6529106676578522,0.011407103686588925,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_high,0.05,0.649957400560379,0.011192421235096634,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_high,0.1,0.6508821487426758,0.010956934003404405,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_high,0.2,0.651159119606018,0.009907197580721524,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_high,0.3,0.6518269598484039,0.009100779929781911,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_low,0.01,0.653703224658966,0.011364719128715237,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_low,0.05,0.6546254754066467,0.011467496129352694,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_low,0.1,0.655226182937622,0.011381610818279058,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_low,0.2,0.6580634236335754,0.011246858672109275,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,conf_low,0.3,0.6613092005252839,0.010181094866569523,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,random,0.01,0.6537690341472626,0.011250582087300065,10
citeseer,GeneralSheaf,5,4,true,avg,masking,zero,acc,random,0.05,0.6548649430274963,0.010973994454092254,10
