dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,high,0.01,0.8269617676734924,0.006076325275262976,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,high,0.05,0.8213279724121094,0.006265269204266005,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,high,0.1,0.8183098673820496,0.00612311296369279,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,high,0.2,0.8148893415927887,0.005300575161214359,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,high,0.3,0.8112676084041596,0.005449704796927948,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,low,0.01,0.8291750431060791,0.006165289370613781,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,low,0.05,0.8291750371456146,0.006052631613648792,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,low,0.1,0.8285714209079742,0.00591289413913928,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,low,0.2,0.827364182472229,0.005980968351825984,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,low,0.3,0.8257545351982116,0.006077654580511974,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_high,0.01,0.8255533218383789,0.005880277792965644,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_high,0.05,0.8221328020095825,0.005570203794315814,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_high,0.1,0.8213279724121094,0.0060549647295940505,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_high,0.2,0.8185110688209534,0.004943310834101313,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_high,0.3,0.8138833045959473,0.005068262048402563,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_low,0.1,0.8287726283073426,0.005665692238312891,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_low,0.2,0.8285714209079742,0.005419913973239049,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_low,0.3,0.8281690120697022,0.005692422767648504,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_high,0.01,0.8285714209079742,0.006380524837231517,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_high,0.05,0.8273641884326934,0.006323158434611116,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_high,0.1,0.8281690120697022,0.0060776582113380995,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_high,0.2,0.8271629750728607,0.005820769348464512,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_high,0.3,0.8229376316070557,0.0065631790729940185,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_low,0.01,0.8295774579048156,0.006142922635380956,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_low,0.05,0.8289738357067108,0.005859245660237098,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_low,0.1,0.8285714268684388,0.0063678201626346615,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_low,0.2,0.8271629750728607,0.005985366141760279,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,deg_matched_low,0.3,0.8247484982013702,0.006282368892302757,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_high,0.05,0.8213279724121094,0.006271727213446615,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_high,0.1,0.8183098673820496,0.006043251504220939,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_high,0.2,0.8156941711902619,0.005340143947581512,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_high,0.3,0.8116700232028962,0.005123476592713176,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_low,0.05,0.8291750371456146,0.006275929400866306,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_low,0.1,0.8293762445449829,0.005850950648330596,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_low,0.2,0.8275653898715973,0.005677111537505685,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,conf_low,0.3,0.82595574259758,0.006177091776117621,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,random,0.01,0.8279678046703338,0.006209779171300569,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,random,0.05,0.8281690120697022,0.006183318550519929,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,random,0.1,0.8249496936798095,0.005995840660651818,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,random,0.2,0.8233400464057923,0.006635566854547785,10
cora,GeneralSheaf,5,3,true,avg,masking,mean,acc,random,0.3,0.8211267650127411,0.005550180935087287,10
