dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,high,0.01,0.8267605602741241,0.006165286511129484,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,high,0.05,0.8219315886497498,0.006300388167866533,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,high,0.1,0.8187122762203216,0.005985363056059374,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,high,0.2,0.8146881341934205,0.005469355408769925,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,high,0.3,0.8108651995658874,0.005262248118689645,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,low,0.01,0.8291750431060791,0.006165289370613781,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,low,0.05,0.8293762445449829,0.005994494893378697,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,low,0.1,0.8289738297462463,0.005782744063592428,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,low,0.2,0.827364182472229,0.005994490611987569,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,low,0.3,0.8249497056007385,0.005824589974516653,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_high,0.01,0.8255533218383789,0.005955528868939935,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_high,0.05,0.8221328020095825,0.005692419354605724,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_high,0.1,0.8211267650127411,0.005944641350023461,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_high,0.2,0.8164989948272705,0.004768226469111728,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_high,0.3,0.8108651995658874,0.004752917361703416,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_low,0.1,0.8285714209079742,0.005632367503619036,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_low,0.2,0.828370213508606,0.0052780017107470914,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_low,0.3,0.8281690120697022,0.005628050945891763,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_high,0.01,0.8287726283073426,0.006295249431784479,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_high,0.05,0.8273641884326934,0.006487489491610998,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_high,0.1,0.827364182472229,0.006061650241463868,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_high,0.2,0.8269617676734924,0.005726458369303057,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_high,0.3,0.8217303931713105,0.006383055906164999,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_low,0.05,0.8289738357067108,0.005859245660237098,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_low,0.1,0.8281690120697022,0.006408380070490763,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_low,0.2,0.8265593588352204,0.006081651796017921,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,deg_matched_low,0.3,0.8247484982013702,0.0064288754621768425,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_high,0.05,0.8211267650127411,0.006275921680689396,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_high,0.1,0.8177062451839447,0.006037554673268414,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_high,0.2,0.8142857193946839,0.0053541508127017716,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_high,0.3,0.8100603640079498,0.0049301891596907005,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_low,0.05,0.8291750371456146,0.006275929400866306,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_low,0.1,0.8293762445449829,0.005753265142291362,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_low,0.2,0.826961773633957,0.005466024899539551,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,conf_low,0.3,0.8251509130001068,0.0062888095705969016,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,random,0.01,0.8279678046703338,0.006209779171300569,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,random,0.05,0.8283702194690704,0.006103249861290772,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,random,0.1,0.8243460774421691,0.006318354213432885,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,random,0.2,0.8233400464057923,0.0063805195743267176,10
cora,GeneralSheaf,5,3,true,avg,masking,zero,acc,random,0.3,0.8211267709732055,0.005520925505781884,10
