dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,baseline,,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,high,0.01,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,high,0.05,0.8081081092357636,0.02430930283995383,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,high,0.1,0.8108108103275299,0.022933191878154183,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,high,0.2,0.8081081092357636,0.023390481251938135,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,high,0.3,0.8108108103275299,0.02447401180544978,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,low,0.2,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,low,0.3,0.8081081092357636,0.021091473255317256,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_high,0.01,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_high,0.05,0.8054054081439972,0.02614785982707555,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_high,0.1,0.8054054081439972,0.025295908407666906,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_high,0.2,0.8108108043670654,0.0267553896213665,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_high,0.3,0.8135135114192963,0.02210605864923324,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_low,0.1,0.8135135114192963,0.02370071292464423,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_low,0.2,0.8081081092357636,0.021091473255317256,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_low,0.3,0.8054054081439972,0.02015281298400599,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_high,0.01,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_high,0.05,0.8081081092357636,0.02660480890217327,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_high,0.1,0.8054054021835327,0.026425742186960085,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_high,0.2,0.8108108103275299,0.02477067702417851,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_high,0.3,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_low,0.05,0.8162162125110626,0.024113195382018573,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_low,0.1,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_low,0.2,0.8135135114192963,0.02109147310256023,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,deg_matched_low,0.3,0.818918913602829,0.023577109919146334,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_high,0.01,0.8135135114192963,0.0243093027074173,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_high,0.05,0.8108108103275299,0.024173706117813734,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_high,0.1,0.8108108103275299,0.025640086419579076,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_high,0.2,0.8081081092357636,0.023390481251938135,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_high,0.3,0.8162162125110626,0.025295908789768708,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_low,0.2,0.8054054081439972,0.02254773248656784,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,conf_low,0.3,0.8081081092357636,0.022106058794979292,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,random,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,random,0.05,0.8108108162879943,0.025353596932966845,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,random,0.1,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,random,0.2,0.8054054021835327,0.024414247500469385,10
cornell,GeneralSheaf,2,2,true,avg,masking,mean,acc,random,0.3,0.8081081092357636,0.02370071306058405,10
