dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,baseline,,0.9545875638137001,0.0019659774164806905,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,high,0.01,0.9511423649068549,0.002167760205537588,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,high,0.05,0.9344813737035984,0.0029205307160891504,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,high,0.1,0.9162868242623041,0.0032340202371180732,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,high,0.2,0.8939228070273331,0.005061630960694827,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,high,0.3,0.8725191036960386,0.005190755273888979,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,low,0.01,0.9544720836356995,0.001953691930520298,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,low,0.05,0.9539148948434752,0.0019361437959459354,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,low,0.1,0.9534642965275053,0.0019315612429830719,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,low,0.2,0.9523926605530308,0.002090897960353155,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,low,0.3,0.9502241188481972,0.0021019166293392956,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_high,0.01,0.9537026544779824,0.0019484969411382017,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_high,0.05,0.9504348019114215,0.001978262395192313,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_high,0.1,0.946585526086159,0.0018908688929239357,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_high,0.2,0.9370043549508245,0.0021827908444753954,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_high,0.3,0.9264066907323464,0.0019433861957087269,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_low,0.01,0.9540965702176976,0.0019922401312605907,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_low,0.05,0.9512920151457385,0.002031671759742064,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_low,0.1,0.9470675879118687,0.0019893799272869576,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_low,0.2,0.9385272346233045,0.00217035859412333,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_low,0.3,0.9272013471501142,0.0023112808738054934,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_high,0.01,0.9538494423155836,0.001991349056428419,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_high,0.05,0.9504843043632871,0.0022134409909744324,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_high,0.1,0.9494386147442281,0.0018738014901842144,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_high,0.2,0.944124398707846,0.001928277925911952,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_high,0.3,0.9415412225300205,0.0019083107062622907,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_low,0.01,0.9538384956985834,0.0018409734114095634,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_low,0.05,0.9504031132159578,0.002189886178664308,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_low,0.1,0.9458377359096815,0.001887519373748566,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_low,0.2,0.9335741240721169,0.0023661017848509466,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,deg_matched_low,0.3,0.9127173755827706,0.002801527242610856,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_high,0.01,0.9544778406132626,0.0019863289472012657,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_high,0.05,0.953620974363296,0.0020348760566704658,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_high,0.1,0.9507364767412652,0.002233154844800964,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_high,0.2,0.9410580831098727,0.0024687027087405195,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_high,0.3,0.9312917427756222,0.002791387495720006,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_low,0.01,0.9538728912921762,0.002034349186371085,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_low,0.05,0.9509930693798889,0.00223956693536668,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_low,0.1,0.9474810364938595,0.0023982035771395885,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_low,0.2,0.9396016476745956,0.0028475611437244943,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,conf_low,0.3,0.9294923086108475,0.00288382342732879,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,random,0.01,0.953738758277359,0.001978620651996266,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,random,0.05,0.95049937889963,0.0023859569537980465,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,random,0.1,0.9471449783098352,0.0019550576188777672,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,random,0.2,0.9366569347360212,0.002143875001115454,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,random,0.3,0.9263293981925536,0.0027681584652772453,10
