dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,high,0.01,0.9433349832470302
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,high,0.05,0.9215624682708905
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,high,0.1,0.9075080591938268
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,high,0.2,0.8761279698446542
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,high,0.3,0.8606235404609606
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,low,0.01,0.9505961899685247
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,low,0.05,0.9501488095238093
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,low,0.1,0.9511006828104376
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,low,0.2,0.9493793786171185
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,low,0.3,0.9500504492841912
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_high,0.01,0.949449182658138
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_high,0.05,0.9463381434663417
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_high,0.1,0.9443249314651234
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_high,0.2,0.9368051325007615
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_high,0.3,0.9284000913798356
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_low,0.01,0.9495935501066098
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_low,0.05,0.9465951492537314
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_low,0.1,0.942743235353843
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_low,0.2,0.9383297162148442
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_low,0.3,0.927838486140725
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_high,0.01,0.9494317316478831
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_high,0.05,0.947139303482587
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_high,0.1,0.9449563407452533
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_high,0.2,0.9414280637628186
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_high,0.3,0.9413709513656209
minesweeper,GeneralSheaf,5,6,true,avg,masking,mean,auc,0,deg_matched_low,0.01,0.9500694867499238
