dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,baseline,,0.9545875586778021,0.001965949608112919,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,high,0.01,0.9514008368195739,0.002209864237807178,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,high,0.05,0.9364034443387996,0.0030376289089593988,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,high,0.1,0.9200092339901296,0.0034510148586074357,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,high,0.2,0.8988416523206746,0.004976974102412847,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,high,0.3,0.8778834502103818,0.005046707248308771,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,low,0.01,0.9545895605643195,0.001964709945200766,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,low,0.05,0.9546105001360375,0.0019565810252599293,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,low,0.1,0.9546083461282935,0.0019279869969512054,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,low,0.2,0.9542498724935811,0.0020924509129385564,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,low,0.3,0.9524793323349403,0.002139873013862318,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_high,0.01,0.953971388376727,0.0019123641161629713,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_high,0.05,0.9515502777220582,0.0018996862601877815,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_high,0.1,0.9479586095800288,0.001896277968685593,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_high,0.2,0.9397457173176637,0.0019673101229116035,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_high,0.3,0.9304119783796254,0.001798465569637595,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_low,0.01,0.9541367291017757,0.0019991963820703987,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_low,0.05,0.9517899663377138,0.002047908081191303,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_low,0.1,0.9484292890914574,0.0020501083344239323,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_low,0.2,0.9410344478515655,0.002054107215617352,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_low,0.3,0.9309110847845415,0.002107996811863761,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_high,0.01,0.9540092178200401,0.001938946171666994,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_high,0.05,0.9512683531336235,0.0021874505110335597,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_high,0.1,0.9502281541475446,0.002015687929898452,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_high,0.2,0.9464885011540594,0.0019793628188733508,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_high,0.3,0.9438306783017945,0.0018201682982042734,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_low,0.01,0.9539669368674613,0.0018283124455257158,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_low,0.05,0.9510186851441969,0.0021133782889949998,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_low,0.1,0.9471886510825442,0.001714473581419902,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_low,0.2,0.9364505224149917,0.0022435944566461395,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,deg_matched_low,0.3,0.9168643781836545,0.002283046260203977,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_high,0.01,0.9545039060182621,0.001991429094399085,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_high,0.05,0.9535225888121994,0.001984785806735026,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_high,0.1,0.9509934007246212,0.002143486558972006,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_high,0.2,0.9423898743630591,0.0023939262149766,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_high,0.3,0.9332080360726767,0.002644420399854637,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_low,0.01,0.954055105908234,0.0019827208480109027,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_low,0.05,0.9517681805972392,0.002053197067891024,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_low,0.1,0.9492395207000401,0.0021983073966979063,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_low,0.2,0.9430390527443745,0.002355239779723557,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,conf_low,0.3,0.9347137318798655,0.0026143708022605327,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,random,0.01,0.9539238913444805,0.0019490414948056768,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,random,0.05,0.9510343533536847,0.002231452138432133,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,random,0.1,0.9483282059871762,0.001879342451501986,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,random,0.2,0.9396181512899322,0.002145370044161999,10
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,random,0.3,0.9302071104084746,0.002518006064665526,10
