dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,high,0.01,0.9434063737435272
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,high,0.05,0.9222509899482182
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,high,0.1,0.9085297365214743
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,high,0.2,0.8777112524114122
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,high,0.3,0.8629048634379125
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,low,0.01,0.9507135876738755
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,low,0.05,0.9508135343689714
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,low,0.1,0.9510943369885267
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,low,0.2,0.9506295055335566
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,low,0.3,0.9506580617321555
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_high,0.01,0.949631625038075
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_high,0.05,0.9477278784648188
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_high,0.1,0.945920905675703
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_high,0.2,0.9391213574982232
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_high,0.3,0.9317697228144988
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_low,0.01,0.949709361356483
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_low,0.05,0.9469489288252615
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_low,0.1,0.9441583536399635
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_low,0.2,0.939056312823637
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_low,0.3,0.9312144633972992
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_high,0.01,0.9496855645243173
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_high,0.05,0.9476533150573662
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_high,0.1,0.9447104401462079
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_high,0.2,0.9443725251294548
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_high,0.3,0.9434285841202154
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_low,0.01,0.9502519291298609
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_low,0.05,0.9473328510508682
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_low,0.1,0.9467728322672353
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_low,0.2,0.9317665499035435
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,deg_matched_low,0.3,0.9166999822316986
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_high,0.01,0.9502043354655295
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_high,0.05,0.9495047085998579
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_high,0.1,0.9470552213422682
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_high,0.2,0.9368939740075135
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_high,0.3,0.9260981444816733
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_low,0.01,0.9502551020408162
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_low,0.05,0.9486686465631028
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_low,0.1,0.9461604604528377
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_low,0.2,0.9403143720174637
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,conf_low,0.3,0.933353005381257
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,random,0.01,0.9505359046603715
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,random,0.05,0.9478896969235455
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,random,0.1,0.9442678190679258
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,random,0.2,0.932085427454564
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,0,random,0.3,0.9262155421870241
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,baseline,,0.9601680562793121
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,high,0.01,0.9574756817787041
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,high,0.05,0.9444341050646418
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,high,0.1,0.9305534876795949
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,high,0.2,0.9091726841857118
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,high,0.3,0.8870800143924167
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,low,0.01,0.9601603017444603
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,low,0.05,0.9601478944886971
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,low,0.1,0.9601494453956674
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,low,0.2,0.9600005583265093
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,low,0.3,0.9585458075882777
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_high,0.01,0.9598253058388545
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_high,0.05,0.9568708280602496
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_high,0.1,0.952993560634259
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_high,0.2,0.945463907292985
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_high,0.3,0.9347812600808952
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_low,0.01,0.9595864661654137
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_low,0.05,0.9573485074071316
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_low,0.1,0.9540605846298915
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_low,0.2,0.9467294473808283
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_low,0.3,0.9350092434055435
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_high,0.01,0.9593832973522918
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_high,0.05,0.9569731879202957
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_high,0.1,0.9564924067594729
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_high,0.2,0.95021898806422
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_high,0.3,0.9514969354078264
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_low,0.01,0.9592902429340677
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_low,0.05,0.9578959775676815
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_low,0.1,0.953106776843098
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_low,0.2,0.9443224397627733
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,deg_matched_low,0.3,0.9211208714856449
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,conf_high,0.01,0.9602874761160327
minesweeper,GeneralSheaf,5,6,true,avg,masking,zero,auc,1,conf_high,0.05,0.959228206655252
