dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,high,0.01,0.8902383327484131,0.0013518985747690377,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,high,0.05,0.8895537555217743,0.0013790872043553692,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,high,0.1,0.8892748475074768,0.0013067276452535747,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,high,0.2,0.888362067937851,0.0015489561089910876,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,high,0.3,0.8882099330425263,0.0016820312546738199,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,low,0.01,0.8906693696975708,0.0013501619553819367,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,low,0.05,0.8905679523944855,0.0013522538836947013,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,low,0.1,0.8907707929611206,0.0012600181021785587,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,low,0.2,0.8909736275672913,0.001313086652934586,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,low,0.3,0.8907961308956146,0.0013459875905761157,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_high,0.01,0.890593308210373,0.0014154599210772258,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_high,0.05,0.890314394235611,0.001414528407368804,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_high,0.1,0.8899087250232697,0.0013372426678419755,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_high,0.2,0.8889959394931793,0.001410243325593129,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_high,0.3,0.8876774787902832,0.00166495744870515,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_low,0.05,0.8910496890544891,0.0013315872019367288,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_low,0.1,0.8909989774227143,0.001408721302369221,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_low,0.2,0.891125762462616,0.0014940936557126386,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_low,0.3,0.8911004066467285,0.0016244001446729269,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_high,0.01,0.8912271797657013,0.0014011903244130583,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_high,0.05,0.8910243332386016,0.001298709479898559,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_high,0.1,0.8915314376354218,0.0015220605465539438,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_high,0.2,0.8907961547374725,0.0013859913939008597,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_high,0.3,0.8907961487770081,0.0012291541607117227,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_low,0.01,0.8907454311847687,0.00130298441711413,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_low,0.05,0.890872198343277,0.0013374379259242777,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_low,0.1,0.8905172348022461,0.0015233259278476514,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_low,0.2,0.8913032472133636,0.0015179357395457677,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,deg_matched_low,0.3,0.890897560119629,0.001574073328711474,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_high,0.01,0.8906693696975708,0.0013525390737139055,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_high,0.05,0.8905933022499084,0.0013263574445274665,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_high,0.1,0.8905679523944855,0.0014181590805898026,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_high,0.2,0.8905933022499084,0.0013650529056150142,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_high,0.3,0.8896805346012115,0.001494202431928937,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_low,0.01,0.8906440138816833,0.001322861410791337,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_low,0.05,0.890593308210373,0.0013763103668519615,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_low,0.1,0.8907707810401917,0.0011950779436970466,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_low,0.2,0.8910750448703766,0.0011790484452474932,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,conf_low,0.3,0.890593308210373,0.0012308281671973538,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,random,0.01,0.8908468604087829,0.0013494253127713381,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,random,0.05,0.8902636945247651,0.0013496837450778286,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,random,0.1,0.8910243391990662,0.001578455195071709,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,random,0.2,0.8910243391990662,0.0013942002985057379,10
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,random,0.3,0.8898833692073822,0.0014771532748244303,10
