dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,baseline,,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,high,0.01,0.8919878005981445
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,high,0.05,0.8912271857261658
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,high,0.1,0.8917343020439148
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,high,0.2,0.8907200694084167
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,high,0.3,0.8912271857261658
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,low,0.01,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,low,0.05,0.8919878005981445
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,low,0.1,0.8930020332336426
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,low,0.2,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,low,0.3,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_high,0.01,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_high,0.05,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_high,0.1,0.8917343020439148
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_high,0.2,0.8907200694084167
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_high,0.3,0.8912271857261658
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_low,0.01,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_low,0.05,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_low,0.1,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_low,0.2,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_low,0.3,0.8930020332336426
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_high,0.01,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_high,0.05,0.8935091495513916
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_high,0.1,0.8940162062644958
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_high,0.2,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_high,0.3,0.8914807438850403
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_low,0.01,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_low,0.05,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_low,0.1,0.8935091495513916
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_low,0.2,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,deg_matched_low,0.3,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_high,0.01,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_high,0.05,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_high,0.1,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_high,0.2,0.8917343020439148
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_high,0.3,0.889959454536438
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_low,0.01,0.892241358757019
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_low,0.05,0.8919878005981445
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_low,0.1,0.8927484750747681
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_low,0.2,0.8942697644233704
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,conf_low,0.3,0.8945233225822449
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,random,0.01,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,random,0.05,0.8914807438850403
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,random,0.1,0.8932555913925171
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,random,0.2,0.8924949169158936
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,0,random,0.3,0.8902129530906677
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,1,baseline,,0.8985801339149475
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,1,high,0.01,0.8985801339149475
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,1,high,0.05,0.8952839970588684
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,1,high,0.1,0.8930020332336426
pubmed,GeneralSheaf,3,4,true,avg,masking,mean,acc,1,high,0.2,0.8940162062644958
