dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,high,0.01,0.8903904736042023,0.0013349562359347945,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,high,0.05,0.8900101482868195,0.0013932770249794515,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,high,0.1,0.8895791053771973,0.0014850532157538445,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,high,0.2,0.888894522190094,0.0015661889073067742,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,high,0.3,0.8885141909122467,0.001740115036614656,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,low,0.01,0.8907200813293457,0.0013179705774237498,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,low,0.05,0.8907200694084167,0.0013715130886357077,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,low,0.1,0.8907707989215851,0.0012887736559628765,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,low,0.2,0.890846848487854,0.0013902523122152268,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,low,0.3,0.8909482717514038,0.0013556976998868554,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_high,0.01,0.8907707929611206,0.001327594691379854,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_high,0.05,0.8905172228813172,0.0014279149516062564,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_high,0.1,0.8906440138816833,0.001414457536734494,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_high,0.2,0.8892748475074768,0.0013799495625514792,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_high,0.3,0.8881845831871032,0.001490132421981324,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_low,0.05,0.8909736275672913,0.00133685986636953,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_low,0.1,0.8909989833831787,0.0013926534389454134,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_low,0.2,0.8911764740943908,0.00145952875826671,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_low,0.3,0.891379302740097,0.0015741339985569744,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_high,0.01,0.8913539528846741,0.0013574995933745184,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_high,0.05,0.8910496950149536,0.0014085369023497834,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_high,0.1,0.8914553761482239,0.0014659721382887976,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_high,0.2,0.8905679523944855,0.001245341696647244,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_high,0.3,0.890897560119629,0.0011597244252469828,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_low,0.01,0.8907707870006562,0.001305621413321483,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_low,0.05,0.890846848487854,0.001335539068676997,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_low,0.1,0.8905933022499084,0.0014737531429481645,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_low,0.2,0.8914046585559845,0.0015427248795026737,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,deg_matched_low,0.3,0.8909989833831787,0.0014786314230047324,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_high,0.01,0.8906440138816833,0.0013435972278536628,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_high,0.05,0.8905172348022461,0.0012982122933807253,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_high,0.1,0.8907961428165436,0.0014016734971647586,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_high,0.2,0.890542596578598,0.001323836203529674,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_high,0.3,0.8896044611930847,0.0014149785081429347,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_low,0.01,0.8907200813293457,0.0013402188935966344,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_low,0.05,0.8905679404735565,0.0014113377682988665,10
pubmed,GeneralSheaf,3,4,true,avg,masking,zero,acc,conf_low,0.1,0.8904665291309357,0.0013002898407584852,10
