dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,baseline,,0.7666905097792934,0.004547770041473307,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,high,0.01,0.7639225460565353,0.004237210354661972,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,high,0.05,0.7606283406717478,0.004053584158124787,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,high,0.1,0.7585664924995786,0.0037295893920556754,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,high,0.2,0.7573507708221257,0.0039181937676092534,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,high,0.3,0.7575058703467257,0.0038993075253266115,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,low,0.01,0.7664929959894623,0.004536848212020464,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,low,0.05,0.7660675949934082,0.004544841885223378,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,low,0.1,0.7654949677794736,0.004517081680642749,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,low,0.2,0.7649573894793227,0.0044234455418919495,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,low,0.3,0.7641971305144895,0.004378114754104546,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_high,0.01,0.7648979356235959,0.004345407903943949,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_high,0.05,0.7619499133012706,0.004172576812238665,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_high,0.1,0.7608043471735753,0.0041156998236312175,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_high,0.2,0.7598968966241755,0.003893755140045027,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_high,0.3,0.7591347097381953,0.0038637175858258683,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_low,0.01,0.766601259729075,0.004549396302305516,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_low,0.05,0.766444001394568,0.004578200378860316,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_low,0.1,0.766136041966341,0.004577572092222388,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_low,0.2,0.7655640381520586,0.004677388344359366,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_low,0.3,0.7650658610188197,0.004504762001052275,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_high,0.01,0.7666409495069371,0.0045651387333460304,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_high,0.05,0.7660601141975808,0.00444252948907816,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_high,0.1,0.7656703970594008,0.004603749986569677,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_high,0.2,0.7650372885347568,0.004469269423574624,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_high,0.3,0.7645932201824484,0.004445401783873953,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_low,0.01,0.7666101489463392,0.004573935962965016,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_low,0.05,0.7664488731474063,0.004539956556453778,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_low,0.1,0.7660445522951497,0.004617999016352364,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_low,0.2,0.7653634189084041,0.004692685951339064,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,deg_matched_low,0.3,0.7647277590629611,0.004549153118916981,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_high,0.01,0.7659680588489272,0.0045117611236062186,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_high,0.05,0.7648507765943446,0.0044748502135306695,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_high,0.1,0.7634205592587546,0.004476841498215765,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_high,0.2,0.7626885610781582,0.004540008482593597,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_high,0.3,0.7627663244125613,0.004532361546750325,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_low,0.01,0.7658963794333529,0.00448683917306548,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_low,0.05,0.7644872653304364,0.004240634772477384,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_low,0.1,0.7632056480008497,0.004124489619967451,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_low,0.2,0.7609743274787639,0.004145631344546735,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,conf_low,0.3,0.7596552253589743,0.004016664224479759,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,random,0.01,0.7664999688300174,0.004532283891922893,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,random,0.05,0.7661951725778036,0.0045359259884460304,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,random,0.1,0.7663333017785361,0.004327267656470466,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,random,0.2,0.7647743755036261,0.0044247696730012765,10
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,random,0.3,0.7626081771563279,0.004482612834422532,10
