dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,baseline,,0.7659957424112637
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,high,0.01,0.7662452177165564
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,high,0.05,0.7642032375221942
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,high,0.1,0.7613957456437064
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,high,0.2,0.7590540718387287
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,high,0.3,0.7586931927066858
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,low,0.01,0.7657870189721294
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,low,0.05,0.7654215220648845
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,low,0.1,0.7650407864994724
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,low,0.2,0.7649453139971693
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,low,0.3,0.7639834314225749
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_high,0.01,0.7689029782341166
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_high,0.05,0.765746151661591
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_high,0.1,0.7644269687307352
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_high,0.2,0.7637590075477536
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_high,0.3,0.7622110138556346
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_low,0.01,0.7656742298128185
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_low,0.05,0.7657503076592729
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_low,0.1,0.7656958179118882
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_low,0.2,0.765283335141962
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_low,0.3,0.7648312549496779
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_high,0.01,0.7672036369597492
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_high,0.05,0.7656776931442201
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_high,0.1,0.7653378248893465
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_high,0.2,0.7637950261943298
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_high,0.3,0.7635239627899675
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_low,0.01,0.7660346471673413
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_low,0.05,0.7652831042532018
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_low,0.1,0.7655627105416882
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_low,0.2,0.7639957839712405
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,deg_matched_low,0.3,0.7621173884634123
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_high,0.01,0.7660580823764918
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_high,0.05,0.7639706170963891
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_high,0.1,0.7620123340775647
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_high,0.2,0.7609785296541979
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_high,0.3,0.7594568572807308
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_low,0.01,0.7658381608324925
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_low,0.05,0.7657504231036529
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_low,0.1,0.766678595919272
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_low,0.2,0.7641502485517502
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,conf_low,0.3,0.7639277872313899
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,random,0.01,0.7659793493092962
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,random,0.05,0.7660216019523953
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,random,0.1,0.7661207686748601
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,random,0.2,0.7637471167766081
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,0,random,0.3,0.7623725205433274
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,baseline,,0.7648083969624274
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,high,0.01,0.760737597233029
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,high,0.05,0.7585389590149363
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,high,0.1,0.7569688000018472
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,high,0.2,0.7573756259971509
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,high,0.3,0.7564753907215044
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,low,0.01,0.7647868088633577
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,low,0.05,0.7640683984862933
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,low,0.1,0.7628266787344525
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,low,0.2,0.7622480715016312
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,low,0.3,0.7618770332641436
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_high,0.01,0.7610293251814209
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_high,0.05,0.7579820553255646
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_high,0.1,0.756822301083561
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_high,0.2,0.7565687852249665
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_high,0.3,0.7552753463908624
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_low,0.01,0.7649843341976269
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_low,0.05,0.764929267228342
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_low,0.1,0.7645252118981596
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_low,0.2,0.763974888538451
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_low,0.3,0.7640563922707679
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_high,0.01,0.7633817353137431
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_high,0.05,0.7639283644532902
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_high,0.1,0.7632232301799315
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_high,0.2,0.7627412498932139
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_high,0.3,0.7626783327060855
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_low,0.01,0.76461445040394
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_low,0.05,0.7652747922578381
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_low,0.1,0.7635852637557751
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_low,0.2,0.7633221660136363
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,deg_matched_low,0.3,0.7639984391919816
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_high,0.01,0.7617219914617337
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_high,0.05,0.761900006695774
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_high,0.1,0.7607663428836622
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_high,0.2,0.759461936833453
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_high,0.3,0.7590212856347941
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_low,0.01,0.7650028052984352
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_low,0.05,0.764760833877846
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_low,0.1,0.76310917113244
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_low,0.2,0.7626066417460731
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,conf_low,0.3,0.7623991881951195
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,random,0.01,0.7645120512388336
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,random,0.05,0.7651170952346869
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,random,0.1,0.7632391615043788
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,random,0.2,0.7624515999436631
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,1,random,0.3,0.7594400024012431
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,baseline,,0.7653575658783356
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,high,0.01,0.7610140865232541
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,high,0.05,0.7592087673079987
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,high,0.1,0.7564823173843075
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,high,0.2,0.7540960820486298
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,high,0.3,0.7547424551325417
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,low,0.01,0.7650714947045663
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,low,0.05,0.765449575049237
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,low,0.1,0.7648436074983433
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,low,0.2,0.7648276761738962
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,low,0.3,0.7644491340517052
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_high,0.01,0.7608409199531758
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_high,0.05,0.7580763733840674
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_high,0.1,0.7576907891546932
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_high,0.2,0.7577286549113502
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_high,0.3,0.7577948045411202
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_low,0.01,0.7654224456199248
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_low,0.05,0.7653760369791438
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_low,0.1,0.7646771367023082
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_low,0.2,0.7643611654341054
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_low,0.3,0.7639984391919817
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_high,0.01,0.7637413445576056
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_high,0.05,0.7640354968379784
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_high,0.1,0.7639265173432093
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_high,0.2,0.7652184554003727
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_high,0.3,0.7635929985292387
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_low,0.01,0.7652828733644419
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_low,0.05,0.7648404905000821
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_low,0.1,0.7650415946101329
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_low,0.2,0.7643907191953989
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,deg_matched_low,0.3,0.7635835320900743
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,conf_high,0.01,0.7656567977114307
questions,GeneralSheaf,5,4,true,avg,masking,mean,auc,2,conf_high,0.05,0.7653089637943336
