dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,baseline,,0.7666903481571613,0.004547740737774889,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,high,0.01,0.7634621654133256,0.004258509356463857,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,high,0.05,0.7602139530695506,0.0040818764704226174,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,high,0.1,0.7583144774179248,0.003780336400689601,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,high,0.2,0.7571516292665357,0.0038694730964573504,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,high,0.3,0.7576101397107888,0.00389316253978962,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,low,0.01,0.766532604956258,0.004526006555400749,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,low,0.05,0.7663070035487602,0.004502483682444158,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,low,0.1,0.7660167648328711,0.004457557716904867,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,low,0.2,0.7658606263088505,0.004334072597354087,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,low,0.3,0.765126134529645,0.0042910971670006804,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_high,0.01,0.7645427132661756,0.004409117248893939,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_high,0.05,0.7622167976190751,0.004069818685193424,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_high,0.1,0.7616214740400222,0.0038274788651678528,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_high,0.2,0.7612475381485955,0.0036352253948593624,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_high,0.3,0.760861711486023,0.0036117775227312186,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_low,0.01,0.7666237367498712,0.004571551415418338,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_low,0.05,0.7664424428954375,0.004657393364415076,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_low,0.1,0.7661516846798382,0.004670923570247112,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_low,0.2,0.7655461904509027,0.004809725932463611,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_low,0.3,0.7651786040003786,0.004608399823621804,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_high,0.01,0.7668048343488592,0.004546496111551235,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_high,0.05,0.7664056623159528,0.004433520072107224,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_high,0.1,0.7659571031772602,0.004566137428667447,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_high,0.2,0.7654071492395679,0.004380622938931769,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_high,0.3,0.7650926094816779,0.004342911306194076,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_low,0.01,0.7666584739638289,0.00454957985469659,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_low,0.05,0.7663589304309077,0.004531895051740072,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_low,0.1,0.7663523847345587,0.00456887764605541,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_low,0.2,0.7657063810726631,0.004588658516821052,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,deg_matched_low,0.3,0.7651808436213517,0.004451960756770359,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_high,0.01,0.7659941377343811,0.004521741791251995,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_high,0.05,0.7650020664544029,0.004511807878783262,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_high,0.1,0.7635885423761686,0.004465574577300741,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_high,0.2,0.7627604367491786,0.00456387230729729,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_high,0.3,0.7627645465691086,0.00449879797616027,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_low,0.01,0.7661447695614729,0.004420446533022018,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_low,0.05,0.7650018932878329,0.004066269284740895,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_low,0.1,0.7640704880295723,0.003822314537502835,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_low,0.2,0.7619925238219479,0.0038438558703507955,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,conf_low,0.3,0.760907762249226,0.0036271992598994125,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,random,0.01,0.7664819248734152,0.004511878579489566,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,random,0.05,0.7661878764929846,0.004534956512594273,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,random,0.1,0.766432837923017,0.004288662042945834,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,random,0.2,0.7649833413759584,0.004243896683488692,10
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,random,0.3,0.762869716399336,0.00426532184062145,10
