dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,baseline,,0.7659953960781235
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,high,0.01,0.7658632122629638
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,high,0.05,0.7636772729266768
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,high,0.1,0.7607071199166953
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,high,0.2,0.7579790537716834
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,high,0.3,0.7574544745087264
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,low,0.01,0.7657443045515102
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,low,0.05,0.7658397770538133
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,low,0.1,0.7658510906030584
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,low,0.2,0.7659144695677071
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,low,0.3,0.7650980469119782
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_high,0.01,0.768502963457236
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_high,0.05,0.7647096920174828
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_high,0.1,0.7629886471996656
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_high,0.2,0.7629079515780093
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_high,0.3,0.7613665382155531
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_low,0.01,0.7656885449159451
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_low,0.05,0.7658021421859162
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_low,0.1,0.7659248595619117
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_low,0.2,0.7655234594524704
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_low,0.3,0.7654607731541021
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_high,0.01,0.7668339840548222
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_high,0.05,0.7657716648695825
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_high,0.1,0.7649922998598505
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_high,0.2,0.7632844157013593
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_high,0.3,0.7636928579179837
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_low,0.01,0.7659489874373425
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_low,0.05,0.765336785889926
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_low,0.1,0.7655347730017156
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_low,0.2,0.7640242987331134
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,deg_matched_low,0.3,0.7623872974239743
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_high,0.01,0.7660531182681496
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_high,0.05,0.764098760358247
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_high,0.1,0.7621321653440589
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_high,0.2,0.7613375616761601
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_high,0.3,0.7600571680570019
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_low,0.01,0.7657855181951887
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_low,0.05,0.7655994218545447
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_low,0.1,0.7671228258937127
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_low,0.2,0.7637631635454355
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,conf_low,0.3,0.7637923709735887
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,random,0.01,0.7657817085306471
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,random,0.05,0.7660129436238914
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,random,0.1,0.7662254767275674
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,random,0.2,0.7637794412030228
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,0,random,0.3,0.7632759882616154
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,baseline,,0.7648093205174679
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,high,0.01,0.7581325947971527
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,high,0.05,0.7557458976839548
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,high,0.1,0.7546277034187698
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,high,0.2,0.7543708396731539
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,high,0.3,0.7537855366662896
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,low,0.01,0.7648576917127097
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,low,0.05,0.7644738391490363
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,low,0.1,0.7637451542221474
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,low,0.2,0.7636545303838064
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,low,0.3,0.7639945140830601
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_high,0.01,0.7580609038371404
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_high,0.05,0.7549631847872014
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_high,0.1,0.7547058592640651
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_high,0.2,0.7561414101300135
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_high,0.3,0.7560667176161198
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_low,0.01,0.7649797164224248
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_low,0.05,0.7650260096188258
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_low,0.1,0.7647295484508518
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_low,0.2,0.7642751593709667
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_low,0.3,0.7646047530760155
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_high,0.01,0.7624824235931371
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_high,0.05,0.7632833767019387
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_high,0.1,0.7630607999371982
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_high,0.2,0.7638251571775234
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_high,0.3,0.7641278523420201
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_low,0.01,0.7646866031414725
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_low,0.05,0.7652752540353582
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_low,0.1,0.7638690260419432
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_low,0.2,0.7646958386918767
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,deg_matched_low,0.3,0.7657535401019143
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conf_high,0.01,0.7614474647259697
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conf_high,0.05,0.7619078569136175
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conf_high,0.1,0.7607568764444979
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conf_high,0.2,0.7590516475067478
questions,GeneralSheaf,5,4,true,avg,masking,zero,auc,1,conf_high,0.3,0.7586041850896657
