dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.01,0.8661592721939086,0.002012717108252815,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.05,0.8515552639961242,0.0029118878818545847,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.1,0.8365541577339173,0.0028250203714411458,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.2,0.8093315839767456,0.003451746290568932,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,high,0.3,0.7863004624843597,0.003855856602606543,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.01,0.8711669921875,0.002136334632358697,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.05,0.8700639724731445,0.001987887881235494,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.1,0.8678579211235047,0.002032195562388111,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.2,0.86247518658638,0.0018277467169658071,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,low,0.3,0.854290759563446,0.0019411328647945736,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.01,0.86450474858284,0.002001258478366292,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.05,0.846790200471878,0.0021377586886989525,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.1,0.8309728682041169,0.0021964913798803946,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.2,0.8079858899116517,0.002447259718604775,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_high,0.3,0.7936024785041809,0.0022551771768182295,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.01,0.8699316143989563,0.002160615315052233,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.05,0.8658945560455322,0.0020948014889864094,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.1,0.8607324123382568,0.0018462514530586303,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.2,0.8488197684288025,0.001820499689438805,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_low,0.3,0.8378336608409882,0.00191949592336211,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.01,0.86812264919281,0.0020124120346457605,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.05,0.8604676842689514,0.0018928966230783622,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.1,0.8524818062782288,0.0018388540556583774,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.2,0.8411427319049836,0.0012244832806213256,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_high,0.3,0.8323626756668091,0.0021468931098558193,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.01,0.8691595017910003,0.0021595436740824434,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.05,0.8653209924697876,0.002118779009797912,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.1,0.8561217725276947,0.0023890162418942137,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.2,0.8397308588027954,0.0017635265621916293,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,deg_matched_low,0.3,0.8192146420478821,0.0024404957496111162,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_high,0.01,0.8696889460086823,0.0021141361432180936,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_high,0.05,0.8628943204879761,0.0024698351663416233,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_high,0.1,0.8552614092826843,0.002844761376513722,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_high,0.2,0.8404367923736572,0.0026741487402983798,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_high,0.3,0.8222810506820679,0.0024919899674445004,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_low,0.01,0.8702845752239228,0.002151091426673748,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_low,0.05,0.8641076445579529,0.0022708343633679514,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_low,0.1,0.8556364476680756,0.0019603278842888826,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_low,0.2,0.8365320920944214,0.0018295522949613435,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,conf_low,0.3,0.8165453374385834,0.0017241603355437744,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,random,0.01,0.86931391954422,0.0020377471512055046,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,random,0.05,0.8626737296581268,0.0019947957001704595,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,random,0.1,0.8545334219932557,0.001998191936545819,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,random,0.2,0.8390249133110046,0.0014988283557928145,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,mean,acc,random,0.3,0.8215309858322144,0.002317292152299466,10
