dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.01,0.8660269141197204,0.002072987359593831,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.05,0.848908007144928,0.002319067049392531,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.1,0.8307522654533386,0.002257682252824772,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.2,0.8006838738918305,0.0029185306381282173,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,high,0.3,0.7768365323543549,0.003047092868041413,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.01,0.8709684550762177,0.0021311954960117293,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.05,0.8700419187545776,0.002081751108561951,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.1,0.8686962187290191,0.0021424300518999256,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.2,0.8646812319755555,0.0018388967611964176,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,low,0.3,0.8595632076263428,0.0017873607933031985,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.01,0.8677034974098206,0.001977592832443157,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.05,0.8590558171272278,0.0022854576604424714,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.1,0.8493712782859802,0.0019249058161519537,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.2,0.8296271800994873,0.001671957299503055,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_high,0.3,0.8122876703739166,0.0018214114559074483,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.01,0.8697551250457763,0.0021185391723173613,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.05,0.8654312789440155,0.002072978622435192,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.1,0.8598499894142151,0.0019297660284030614,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.2,0.8473637759685516,0.0017315526692962928,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_low,0.3,0.8346790194511413,0.0018436515870831724,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.01,0.8689830005168915,0.0020506607307752855,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.05,0.8636223256587983,0.0018653254667244858,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.1,0.857335090637207,0.001688466391614739,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.2,0.8485550463199616,0.0020144558933442506,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_high,0.3,0.8410765528678894,0.0014043344896831368,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_low,0.01,0.8690271377563477,0.002108600055750562,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_low,0.05,0.8643061995506287,0.00216517826814759,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_low,0.1,0.854224580526352,0.0023699975350412092,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_low,0.2,0.8344804763793945,0.0015621065403373861,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,deg_matched_low,0.3,0.8092874526977539,0.0018248238040300883,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_high,0.01,0.8696227610111237,0.002018985630858303,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_high,0.05,0.8620781004428864,0.0021273882711342093,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_high,0.1,0.8527465343475342,0.002447466924553877,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_high,0.2,0.8343039929866791,0.002420112467164966,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_high,0.3,0.8105007767677307,0.002673962099696257,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_low,0.01,0.8703286945819855,0.0020990588812296504,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_low,0.05,0.8670416891574859,0.0021242412806941353,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_low,0.1,0.8620339691638946,0.0019640463565624208,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_low,0.2,0.8514449536800385,0.0015978819829872049,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,conf_low,0.3,0.8382307648658752,0.0018316936909983609,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,random,0.01,0.8691815614700318,0.0021115880837412173,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,random,0.05,0.8631590664386749,0.0021413560646996316,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,random,0.1,0.8557246863842011,0.0019064101158286105,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,random,0.2,0.8398852944374084,0.001932729376024647,10
roman_empire,GeneralSheaf,5,5,true,avg,masking,zero,acc,random,0.3,0.8215310037136078,0.0022135309285185307,10
