dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,baseline,,0.8536271890225551,0.00219241973499859,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,high,0.01,0.8535361237863617,0.002222343810760238,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,high,0.05,0.8532073467650321,0.0020800589341065934,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,high,0.1,0.8526901355370645,0.0020891172317817354,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,high,0.2,0.8509883306356063,0.0020393763959590176,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,high,0.3,0.8479592168728598,0.0020251506772846137,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,low,0.01,0.8537108660110784,0.00217366600955574,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,low,0.05,0.8536340689045602,0.0021509653059824333,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,low,0.1,0.853259979556922,0.0021668729685079577,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,low,0.2,0.8518751237023119,0.0022978097478677123,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,low,0.3,0.8501167546478179,0.0025197871269303303,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_high,0.01,0.853687548972559,0.0023467403935061902,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_high,0.05,0.8532933283445716,0.0023471193754619492,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_high,0.1,0.8528078730251689,0.002290542027545119,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_high,0.2,0.8513272410791993,0.0021507296185971398,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_high,0.3,0.8491866488264209,0.0022026409756237078,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_low,0.01,0.8535550349891142,0.0022056553822103983,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_low,0.05,0.8533367427723958,0.002172836085162005,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_low,0.1,0.8531792849803026,0.0022198235081473026,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_low,0.2,0.853135091058458,0.0022798724453587096,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_low,0.3,0.8527528339691294,0.0022605391045590556,10
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,deg_matched_high,0.01,0.853657453725168,0.0022288676441979197,10
