dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,baseline,,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,high,0.01,0.8484694126546449
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,high,0.05,0.8484056974912494
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,high,0.1,0.8479735866756681
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,high,0.2,0.8469351650764989
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,high,0.3,0.8450657350696393
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,low,0.01,0.8482599660005044
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,low,0.05,0.8481637154345238
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,low,0.1,0.8477878637525792
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,low,0.2,0.8464498453212737
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,low,0.3,0.8449338989070816
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_high,0.01,0.8482914846717585
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_high,0.05,0.8489171133506314
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_high,0.1,0.8478759804679132
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_high,0.2,0.8472998327138049
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_high,0.3,0.8458089656724389
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_low,0.01,0.8488120511131174
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_low,0.05,0.8489601549769675
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_low,0.1,0.8484324714162932
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_low,0.2,0.8483999360137082
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_low,0.3,0.8469954911354586
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_high,0.01,0.8487008884876189
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_high,0.05,0.8482270916874758
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_high,0.1,0.8475828229342053
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_high,0.2,0.8461919344736991
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_high,0.3,0.8455263143624823
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_low,0.01,0.8483362208503127
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_low,0.05,0.848886611410708
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_low,0.1,0.8481928617326729
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_low,0.2,0.8480335738241841
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,deg_matched_low,0.3,0.8482159076428372
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_high,0.01,0.8484911029230349
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_high,0.05,0.8486629305179364
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_high,0.1,0.8482918235822021
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_high,0.2,0.8475811283819874
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_high,0.3,0.845928939969471
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_low,0.01,0.8485514289819942
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_low,0.05,0.8484900861917041
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_low,0.1,0.8481040671964515
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_low,0.2,0.8466799655124733
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,conf_low,0.3,0.8448298534008984
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,random,0.01,0.8483660449693491
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,random,0.05,0.8477831190063687
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,random,0.1,0.8482060792399729
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,random,0.2,0.8482013344937628
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,0,random,0.3,0.8469687172104146
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,high,0.01,0.8554275829720548
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,high,0.05,0.8568950651928129
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,high,0.1,0.858670955917241
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,high,0.2,0.856676806867139
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,high,0.3,0.8558139408777509
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,low,0.01,0.8554526623448808
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,low,0.05,0.8556377074470826
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,low,0.1,0.855155098975406
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,low,0.2,0.8540536400337284
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,low,0.3,0.8527549352138797
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_high,0.01,0.8563067166627354
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_high,0.05,0.8573098915757709
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_high,0.1,0.8571533149508309
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_high,0.2,0.8566612169867336
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_high,0.3,0.8560111867559221
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_low,0.01,0.8545159138787892
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_low,0.05,0.8541302337939803
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_low,0.1,0.8543884835519984
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_low,0.2,0.8541736143307603
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_low,0.3,0.8545714951915387
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_matched_high,0.01,0.8553801355099517
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_matched_high,0.05,0.856593434898015
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_matched_high,0.1,0.8562938380658787
tolokers,GeneralSheaf,3,4,true,avg,masking,mean,auc,1,deg_matched_high,0.2,0.856675112314921
