dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,baseline,,0.8536273923688213,0.0021922626649468354,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,high,0.01,0.8534026608536747,0.0022417898923056965,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,high,0.05,0.8532775690089446,0.0021268913915384402,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,high,0.1,0.8528939562778415,0.0020896789537496107,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,high,0.2,0.8520378007152367,0.0021031095307854743,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,high,0.3,0.8501850789932461,0.002127691089600835,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,low,0.01,0.8534979963614575,0.0021844322989354997,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,low,0.05,0.8532893292013372,0.002183557490927781,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,low,0.1,0.8529956971930082,0.002274460225486067,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,low,0.2,0.8516707945958697,0.002643987693767388,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,low,0.3,0.8499726838182464,0.002968544081723428,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_high,0.01,0.8536370513164636,0.002328725836595478,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_high,0.05,0.8532944467490354,0.002368780894204498,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_high,0.1,0.8530102025599937,0.0024130142009486993,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_high,0.2,0.8517909722391679,0.0024830020299758133,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_high,0.3,0.8506883271109376,0.0025581349630430373,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_low,0.01,0.8535479178697987,0.002220715523519241,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_low,0.05,0.8530518546535115,0.0021961175962658995,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_low,0.1,0.8528020776565836,0.002221710240661634,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_low,0.2,0.8527071149502886,0.002275269443472609,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_low,0.3,0.8523714580469539,0.002278903598317172,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_high,0.01,0.8536881929024019,0.002232575678031053,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_high,0.05,0.8537946107816902,0.0022807902915103254,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_high,0.1,0.8535455793877379,0.0022654478549249952,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_high,0.2,0.8522717167034045,0.0024317844862803443,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_high,0.3,0.8515639022419604,0.0025429464818804586,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_low,0.01,0.8535579835099736,0.002232579339644778,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_low,0.05,0.853278551849231,0.0022152837185315443,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_low,0.1,0.8531460039747418,0.002275142011068637,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_low,0.2,0.8526225906856565,0.0022108521362735833,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,deg_matched_low,0.3,0.8520426810256243,0.0022235771537937135,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_high,0.01,0.8537306583809843,0.0021940001146875726,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_high,0.05,0.8537617025776172,0.002145687232129954,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_high,0.1,0.8537220839467612,0.0021336008285701984,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_high,0.2,0.853480779710923,0.002105029115998504,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_high,0.3,0.8528016370730068,0.0021429598611075215,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_low,0.01,0.8535382928132009,0.0021745055391013414,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_low,0.05,0.8536459985521745,0.0021632069265158514,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_low,0.1,0.8531729473550073,0.0022658054150944524,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_low,0.2,0.8521332378961525,0.002403258632494772,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,conf_low,0.3,0.8507244549642247,0.002416319655815827,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,random,0.01,0.8536076338899597,0.0021716802150518254,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,random,0.05,0.8537011392813472,0.0022466591663717122,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,random,0.1,0.8538631045823403,0.0022166027920044727,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,random,0.2,0.8531673892237326,0.002321822637096462,10
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,random,0.3,0.8527387352946759,0.0022621793196642053,10
