dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,baseline,,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,high,0.01,0.8484789021470655
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,high,0.05,0.8484063753121365
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,high,0.1,0.8483796013870927
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,high,0.2,0.8483904465212876
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,high,0.3,0.8473981167424471
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,low,0.01,0.8480701761520921
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,low,0.05,0.8477929474092329
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,low,0.1,0.8471788416854423
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,low,0.2,0.8464037535009449
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,low,0.3,0.8446248125825248
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_high,0.01,0.8482965683284125
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_high,0.05,0.8484561951473446
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_high,0.1,0.8476119692323543
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_high,0.2,0.8472012097747195
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_high,0.3,0.846626078751942
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_low,0.01,0.8487910386656146
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_low,0.05,0.8487659592927888
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_low,0.1,0.8484121367896778
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_low,0.2,0.8485565126386482
tolokers,GeneralSheaf,3,4,true,avg,masking,zero,auc,0,deg_low,0.3,0.8468639938833443
