dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,baseline,,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,high,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,high,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,high,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,high,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,high,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,low,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,low,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,low,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,low,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,low,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_high,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_high,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_high,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_high,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_high,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_low,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_low,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_low,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_low,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_low,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_high,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_high,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_high,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_high,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_high,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_low,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_low,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_low,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_low,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,deg_matched_low,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_high,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_high,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_high,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_high,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_high,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_low,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_low,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_low,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_low,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,conf_low,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,random,0.01,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,random,0.05,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,random,0.1,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,random,0.2,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,0,random,0.3,0.8235294222831726
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,baseline,,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,high,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,high,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,high,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,high,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,high,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,low,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,low,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,low,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,low,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,low,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_high,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_high,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_high,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_high,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_high,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_low,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_low,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_low,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_low,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_low,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_high,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_high,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_high,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_high,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_high,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_low,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_low,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_low,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_low,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,deg_matched_low,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_high,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_high,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_high,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_high,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_high,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_low,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_low,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_low,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_low,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,conf_low,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,random,0.01,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,random,0.05,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,random,0.1,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,random,0.2,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,1,random,0.3,0.8823529481887817
wisconsin,GeneralSheaf,2,2,true,avg,masking,zero,acc,2,baseline,,0.8627451062202454
