dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.01,0.4584354102611542,0.002240265350151979,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.05,0.4549567222595215,0.0020225219300821647,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.1,0.45231096148490907,0.002100946800863206,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.2,0.4468724489212036,0.002281766657468111,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.3,0.44381838738918306,0.0022404140059000405,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.01,0.4636779367923737,0.0020565769518893495,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.05,0.4634166270494461,0.002124304107533079,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.1,0.4634002923965454,0.0019340954405416113,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.2,0.4626163631677628,0.0021111995000762385,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.3,0.46065653860569,0.002225955325443401,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.01,0.458500736951828,0.0022847341238914427,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.05,0.45639392733573914,0.0023580461983909403,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.1,0.45544667541980743,0.0021533363046348296,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.2,0.45084108710289,0.0023054263966123104,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.3,0.44781969487667084,0.0025121359685199626,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.01,0.4637759268283844,0.002174781458439196,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.05,0.46380858719348905,0.002328815605653355,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.1,0.4634819537401199,0.0024521127423259587,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.2,0.4616037875413895,0.0023385045671910484,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.3,0.4593009948730469,0.0022525000921739553,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.01,0.46312265396118163,0.001978928281836237,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.05,0.46155479550361633,0.002006288040086076,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.1,0.46150579750537873,0.002238811138549849,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.2,0.46106483936309817,0.0019883930916652142,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.3,0.45998693704605104,0.002174928460453169,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.01,0.4635636150836945,0.002102082657693026,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.05,0.46269802153110506,0.0020999565744451716,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.1,0.4617507725954056,0.002263723308771905,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.2,0.458974352478981,0.0021801727048555,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.3,0.4576024800539017,0.0018693326093784871,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.01,0.46088518500328063,0.0019426002034332423,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.05,0.45881104171276094,0.001956150940603281,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.1,0.45758615136146547,0.0021084930744769987,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.2,0.45219663679599764,0.002088026610928449,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.3,0.4485382974147797,0.0020587488624885576,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.01,0.46331863701343534,0.0019811382295234358,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.05,0.46312265396118163,0.002049769101207526,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.1,0.4623877167701721,0.0021327685794486815,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.2,0.4608525216579437,0.002254247101257957,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.3,0.4592846542596817,0.002258739221439442,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.01,0.4632206469774246,0.001998108591385001,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.05,0.46326964199542997,0.0022514505338761585,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.1,0.4620284169912338,0.001968379294119431,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.2,0.4594643145799637,0.002281561937596349,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.3,0.4573738306760788,0.002065997714796021,10
