dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.01,0.4575534850358963,0.001995191144355397,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.05,0.4528172492980957,0.0017640231103672613,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.1,0.44969786405563356,0.0019067414121389445,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.2,0.4451575994491577,0.0017032255980794632,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.3,0.44319777488708495,0.0016315616464841066,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.01,0.46380859017372134,0.0020433052728693626,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.05,0.46380859315395356,0.0020751676616329474,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.1,0.46420055627822876,0.0018960512776139392,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.2,0.46302465796470643,0.0017809148674490555,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.3,0.46114649772644045,0.001994521420607356,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.01,0.45789645314216615,0.002068034976613414,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.05,0.45557733476161955,0.002140563106660764,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.1,0.45376449525356294,0.002214301741070529,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.2,0.4491099208593369,0.001986380902515262,10
amazon_ratings,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.3,0.4455658972263336,0.0017808166739638413,10
